,Place,CarNum,Team,ACdjous ts ted,Pric(3e0)Score,Cost(1 5 )A c curacy,DrEanwiginnges(e ri1n5)g,Sc o rS c ee( a4n ri0)o,Penalty,Score
1,1,90,Texas Tech Univ,"$14,531",22.9,13,14,39,,88.85
2,2,60,Univ of Illinois - Chicago,"$13,254",24.6,12.5,12.5,38.5,,88.1
3,3,20,Univ of Victoria,"$17,607",18.6,14,15,39.5,,87.14
4,4,18,Kennesaw State University,"$11,531",27,14,15,31,,86.96
5,5,83,Univ of South Florida,"$18,932",16.8,15,15,40,,86.82
6,6,35,Texas A & M Univ - College Station,"$16,680",19.9,12,13.5,39.5,,84.91
7,7,57,Oakland University,"$16,237",20.5,13,11,40,,84.52
8,8,104,Washington Univ - St Louis,"$20,226",15.1,14,15,40,,84.05
9,9,66,Univ of Michigan - Dearborn,"$17,193",19.2,13,12.5,39,,83.71
10,10,145,Instituto Maua de Tecnologia,"$18,333",17.6,13,13,40,,83.65
11,11,16,Villanova Univ,"$12,240",26,12,9,36,,82.99
12,12,71,Univ of Hartford,"$17,867",18.3,11,14,37.5,,80.78
13,13,6,California Polytechnic State Univ-SLO,"$18,263",17.7,10,13,40,,80.74
14,14,3,The Ohio State University,"$23,089",11.1,14,15,40,,80.13
15,15,99,Univ of North Florida,"$20,950",14.1,11,15,40,,80.06
16,16,24,Brown Univ,"$16,965",19.5,13,12,34.5,,79.02
17,17,40,Universite de Sherbrooke,"$16,410",20.3,12,15,31.5,,78.78
18,18,31,Liberty Univ,"$19,115",16.6,10,12,40,,78.57
19,19,7,Georgia Institute of Technology,"$20,578",14.6,12,15,37,,78.57
20,20,118,Univ of Manitoba,"$21,829",12.9,15,15,35.5,,78.36
21,21,126,Arizona State Univ - Tempe,"$21,528",13.3,11,13,40,,77.27
22,22,114,Lehigh Univ,"$14,755",22.5,12,12,30.5,,77.05
23,23,55,Univ of Missouri,"$19,593",15.9,11,15,35,,76.92
24,24,98,Univ of Nebraska - Lincoln,"$13,032",24.9,12,10,30,,76.91
25,25,86,Univ of Akron,"$20,001",15.4,15,14,32.5,,76.86
26,26,9,Univ of North Carolina - Charlotte,"$24,965",8.6,13,15,40,,76.56
1,27,127,Univ of Connecticut,"$20,786",14.3,15,15,32,,76.28
2,28,135,Univ of Wisconsin - Madison,"$21,207",13.7,12,11,39.5,,76.21
3,29,63,Duke Univ,"$20,215",15.1,14,12,35,,76.07
4,30,27,Carleton Univ,"$12,738",25.3,12,,38,,75.31
5,31,33,Rose Hulman Inst of Tech,"$20,073",15.3,11,13,36,,75.26
6,32,53,Clemson Univ,"$22,640",11.7,12,15,36.5,,75.25
7,33,78,Univ of the Pacific,"$11,024",27.7,10.5,12,24,,74.16
8,34,119,California Baptist University,"$19,298",16.3,9,12,36,,73.32
9,35,76,Univ of Alabama - Tuscaloosa,"$28,134",4.2,14,15,40,,73.22
10,36,107,Virginia Tech,"$26,892",5.9,13,14,40,,72.92
11,37,38,North Carolina State Univ - Raleigh,"$19,385",16.2,11,13,32,,72.2
12,38,8,Purdue Univ - W Lafayette,"$25,994",7.2,14,15,36,,72.15
13,39,49,Univ of Maryland - College Park,"$21,191",13.7,13,5,40,,71.73
14,40,67,Univ of Minnesota - Twin Cities,"$24,960",8.6,15,15,33,,71.57
15,41,61,Wayne State Univ,"$17,685",18.5,10,14,28,,70.53
16,42,110,Michigan Tech Univ,"$18,630",17.2,10,7,36,,70.24
17,43,91,Mississippi State Univ,"$16,496",20.2,14,10,26,,70.16
18,44,45,California State Univ - Northridge,"$17,513",18.8,13,15,23,,69.77
19,45,19,Purdue Univ - Northwest,"$18,132",17.9,11,12,28,,68.92
20,46,111,Florida International Univ,"$18,192",17.8,9,12,30,,68.84
21,47,84,Univ of British Columbia,"$25,300",8.1,11,12,37.5,,68.6
22,48,30,Univ of Calif - Berkeley,"$20,048",15.3,14,14,25,,68.3
23,49,47,Univ of Kentucky,"$15,750",21.2,11,,36,,68.18
24,50,48,Univ of Central Florida,"$24,810",8.8,13,12,34,,67.77
25,51,15,Tennessee Tech Univ,"$9,313",30,11,4,22,,67
26,52,77,Vanderbilt Univ,"$13,901",23.7,8,2,33,,66.72
1,53,74,Drexel Univ,"$22,355",12.1,10.5,10,34,,66.64
2,54,121,Univ of Saskatchewan,"$16,578",20,13,12,21.5,,66.55
3,55,22,Sacramento State Univ,"$18,077",18,13,2,33.5,,66.5
4,56,109,Temple Univ,"$17,685",18.5,15,15,17,,65.53
5,57,101,Minnesota State University - Mankato,"$14,081",23.5,12,,30,,65.47
6,58,23,Kansas State Univ,"$23,516",10.5,10,11,33,,64.54
7,59,64,West Virginia Univ,"$20,603",14.5,10,10,30,,64.54
