,Place,CarNum,Team,RawScore,Penalty,Score
1,81 T,46,York College of Pennsylvania,32.5,,32.5
2,81 T,95,Univ of Toledo,32.5,,32.5
3,83,15,Tennessee Tech Univ,32.3,,32.3
4,84,90,Texas Tech Univ,31.5,,31.5
5,85,92,Clarkson University,31.4,,31.4
6,86,102,Missouri University of Science and Tech,30.7,,30.7
7,87,26,Univ of Wisconsin - Platteville,30.7,,30.7
8,88,74,Drexel Univ,29.9,,29.9
9,89,108,Lawrence Technological Univ,29.8,,29.8
10,90,133,Universidad Autonoma Estado Mexico,29.3,,29.3
11,91,22,Sacramento State Univ,29.3,,29.3
12,92,89,Southern Illinois Univ - Carbondale,28.9,,28.9
13,93,36,Colorado State University,28.7,,28.7
14,94 T,94,Univ of Colorado - Boulder,28.1,,28.1
15,94 T,100,Kettering Univ,28.1,,28.1
16,96,97,Univ of Massachusetts - Lowell,27.8,,27.8
17,97,126,Arizona State Univ - Tempe,27.6,,27.6
18,98,34,Colorado Mesa University,27.6,,27.6
19,99,80,California State Univ - Fullerton,27.5,,27.5
20,100,78,Univ of the Pacific,27.3,,27.3
21,101,86,Univ of Akron,27.0,,27.0
22,102,113,US Air Force Academy,26.9,,26.9
23,103,40,Universite de Sherbrooke,26.8,,26.8
24,104,61,Wayne State Univ,26.2,,26.2
25,105,116,Saginaw Valley State Univ,25.8,,25.8
26,106,51,ITESM - Campus Cuernavaca,23.5,,23.5
27,107,62,Washington State Univ,22.0,,22.0
28,108,73,Univ of Puerto Rico-Mayaquez,20.4,,20.4
29,109,93,South Dakota State Univ,20.0,,20.0
30,110,54,Instituto Tecnologico de Chihuahua,15.4,,15.4
31,111,128,St Cloud State Univ,10.0,,10.0
32,,37,Univ of Arizona,,,
33,,50,Missouri State University,,,
34,,59,Univ of Calif - Irvine,,,
35,,79,Univ of Texas - San Antonio,,,
36,,124,Alabama A & M Univ,,,
37,,138,Universidad Autonoma de Baja California,,,
38,,140,North Dakota State Univ,,,
39,,142,Lamar Univ,,,
1,1,7,Georgia Institute of Technology,75,,75
2,2,3,The Ohio State University,73.6,,73.6
3,3,18,Kennesaw State University,72.8,,72.8
4,4,9,Univ of North Carolina - Charlotte,69.1,,69.1
5,5,106,Embry-Riddle Aero Univ - Daytona Beach,68.5,,68.5
6,6,63,Duke Univ,68.0,,68.0
7,7,127,Univ of Connecticut,67.1,,67.1
8,8,8,Purdue Univ - W Lafayette,65.9,,65.9
9,9,68,AGH Univ of Science and Technology,65.6,,65.6
10,10,41,Univ of Houston - Houston,64.2,,64.2
11,11,66,Univ of Michigan - Dearborn,62.0,,62.0
12,12 T,23,Kansas State Univ,60.0,,60.0
13,12 T,77,Vanderbilt Univ,60.0,,60.0
14,14,27,Carleton Univ,57.9,,57.9
15,15,135,Univ of Wisconsin - Madison,56.8,,56.8
16,16,24,Brown Univ,56.7,,56.7
17,17,67,Univ of Minnesota - Twin Cities,56.2,,56.2
18,18,25,California State Poly Univ - Pomona,56.0,,56.0
19,19,105,Univ of Southern California,55.5,,55.5
20,20,20,Univ of Victoria,54.9,,54.9
21,21,44,Univ of Texas - Dallas,54.4,,54.4
22,22,56,Iowa State Univ,53.5,,53.5
23,23,16,Villanova Univ,52.9,,52.9
24,24,122,South Dakota School of Mines & Tech,52.4,,52.4
25,25,47,Univ of Kentucky,51.8,,51.8
26,26,31,Liberty Univ,51.5,,51.5
27,27,117,Pellissippi State Community College,51.3,,51.3
28,28,125,Northern Arizona Univ,50.8,,50.8
29,29,53,Clemson Univ,50.4,,50.4
30,30,101,Minnesota State University - Mankato,50.3,,50.3
31,31,45,California State Univ - Northridge,49.8,,49.8
32,32,110,Michigan Tech Univ,49.5,,49.5
