Place,CarNum,Team,Driver1 Run1 TimeR,Driver1 Run1 TimeL,Driver1 Run1 Cones,Driver1 Run1 ,Driver1 Run1 AdjTime,Driver1 Run2 TimeR,Driver1 Run2 TimeL,Driver1 Run2 Cones,Driver1 Run2 AdjTime,Driver2 Run1 TimeR,Driver2 Run1 TimeL,Driver2 Run1 Cones,Driver2 Run1 AdjTime,Driver2 Run2 TimeR,Driver2 Run2 TimeL,Driver2 Run2 Cones,Driver2 Run2 AdjTime,BestTime,Penalty,Score
1 T,8,Purdue Univ - W Lafayette,5.270,5.420,,5.345,5.370,,,DNF,5.334,5.460,,5.397,5.170,5.190,,5.180,5.180,,75
1 T,55,Univ of Missouri,6.063,5.776,,5.919,5.457,5.337,,5.397,5.764,5.270,2,5.767,5.240,5.120,,5.180,5.180,,75.0
3,49,Univ of Maryland - College Park,,,,DNF,5.290,5.204,,5.247,5.493,4.946,,5.219,5.493,5.490,,5.491,5.219,,72.04
4,67,Univ of Minnesota - Twin Cities,5.516,5.396,,5.456,5.920,5.253,,5.586,5.673,5.306,,5.489,5.413,5.070,,5.241,5.241,,70.4
5 T,9,Univ of North Carolina - Charlotte,5.407,5.466,,5.436,5.197,5.290,,5.243,5.614,5.503,,5.558,5.403,5.547,,5.475,5.243,,70.26
5 T,35,Texas A & M Univ - College Station,5.477,5.297,,5.387,5.490,5.260,,5.375,5.503,5.013,,DNF,5.176,5.310,,5.243,5.243,,70.26
7,57,Oakland University,5.300,5.440,,5.370,5.520,5.140,1,5.455,5.507,5.010,,5.258,5.274,5.224,4,5.749,5.258,,69.15
8,127,Univ of Connecticut,5.540,5.216,,5.378,5.643,5.387,,5.515,5.510,5.243,,5.376,5.576,5.080,,5.328,5.328,,64.12
9,6,California Polytechnic State Univ-SLO,5.620,5.247,,5.433,5.504,5.156,,5.330,5.530,5.253,,5.391,5.503,5.304,,5.403,5.330,,63.98
10,86,Univ of Akron,5.660,5.483,2,5.821,5.634,5.610,2,5.872,5.530,5.304,3,5.792,5.460,5.230,,5.345,5.345,,62.93
11,3,The Ohio State University,5.730,5.420,,DNF,5.340,5.330,,DNF,6.807,6.597,,6.702,5.430,5.263,,5.346,5.346,,62.86
