CarNum,Team,Country,CyliE nndgienres,Dis( c a ncpl cE gi)enmeent,Weight(kg),Weight(lbs)
3,ytisrevinU etatS oihO ehT,SU,4,6.0,4.102,0.444
6,California Polytechnic State Univ-SLO,US,1,450.0,177.4,391.0
7,Georgia Institute of Technology,US,4,600.0,210.9,465.0
8,Purdue Univ - W Lafayette,US,4,635.0,218.2,481.0
9,Univ of North Carolina - Charlotte,US,1,450.0,169.2,373.0
14,Univ of Cincinnati,US,2,690.0,204.6,451.0
15,Tennessee Tech Univ,US,2,625.0,170.6,376.0
16,Villanova Univ,US,4,600.0,206.8,456.0
17,Florida Atlantic Univ,US,4,610.0,206.8,456.0
18,Kennesaw State University,US,4,600.0,200.9,443.0
19,Purdue Univ - Northwest,US,4,600.0,200.5,442.0
20,Univ of Victoria,CA,4,600.0,211.8,467.0
21,Oklahoma State Univ,US,4,635.0,238.6,526.0
22,Sacramento State Univ,US,4,635.0,210.9,465.0
23,Kansas State Univ,US,3,675.0,208.2,459.0
24,Brown Univ,US,4,600.0,233.1,514.0
25,California State Poly Univ - Pomona,US,4,600.0,224.5,495.0
26,Univ of Wisconsin - Platteville,US,2,690.0,245.4,541.0
27,Carleton Univ,CA,1,450.0,179.6,396.0
29,Univ of Texas - Austin,US,4,600.0,217.3,479.0
30,Univ of Calif - Berkeley,US,1,450.0,168.3,371.0
31,Liberty Univ,US,4,600.0,213.6,471.0
32,Colorado School of Mines,US,4,600.0,212.7,469.0
33,Rose Hulman Inst of Tech,US,1,480.0,174.6,385.0
34,Colorado Mesa University,US,2,650.0,210.5,464.0
35,Texas A & M Univ - College Station,US,4,600.0,200.5,442.0
36,Colorado State University,US,4,600.0,227.7,502.0
37,Univ of Arizona,US,4,600.0,,
38,North Carolina State Univ - Raleigh,US,4,675.0,192.3,424.0
40,Universite de Sherbrooke,CA,2,500.0,200.5,442.0
41,Univ of Houston - Houston,US,4,600.0,,
42,Univ of Oklahoma,US,4,635.0,231.8,511.0
43,Universidad Panamericana Sede Guadalajar,MX,4,600.0,269.4,594.0
44,Univ of Texas - Dallas,US,4,600.0,249.5,550.0
45,California State Univ - Northridge,US,4,600.0,189.6,418.0
46,York College of Pennsylvania,US,4,600.0,253.1,558.0
47,Univ of Kentucky,US,4,600.0,213.6,471.0
48,Univ of Central Florida,US,4,635.0,194.6,429.0
49,Univ of Maryland - College Park,US,4,600.0,223.6,493.0
50,Missouri State University,US,1,450.0,,
51,ITESM - Campus Cuernavaca,MX,4,635.0,,
52,California State Univ - Chico,US,1,450.0,192.3,424.0
53,Clemson Univ,US,4,635.0,196.0,432.0
54,Instituto Tecnologico de Chihuahua,MX,4,600.0,235.4,519.0
55,Univ of Missouri,US,4,600.0,232.7,513.0
65,vinU etatS awoI,SU,4,6.0,,
57,Oakland University,US,4,600.0,231.3,510.0
58,Syracuse Univ,US,4,600.0,270.3,596.0
59,Univ of Calif - Irvine,US,4,600.0,,
