Place,CarNum,Team,Score
1,11,Univ of Stuttgart,75.0
2,29,National Univ of Singapore,74.84
3,1,Oregon State Univ,74.53
4,36,Univ of Kansas - Lawrence,72.21
5,3,Graz Univ of Technology,71.78
6,928U,niv of Florida,71.52
7,46,Univ of Pennsylvania,70.52
8,45,Univ of Wisconsin - Madison,70.23
9,84,Clemson Univ,70.15
10,73,Univ of Akron,69.59
11,10,Kookmin Univ,68.52
12,65,McGill Univ,68.28
13,114U,niv of North Carolina - Charlotte,68.23
14,34,Saginaw Valley State Univ,67.97
15,5,Rochester Institute of Technology,67.68
16,9,Cornell Univ,67.59
17,20,Oxford Brookes Univ,67.29
18,120U,niv of Cincinnati,66.61
19,41,University of Applied Sciences Zwickau,66.58
20,27,Univ of Applied Sciences Amberg-Weiden,66.43
21,80,Universite Laval,66.12
22,15,US Naval Academy,66.09
23,81,Auburn Univ,65.28
24,116C,olorado State University,65.06
25,7,Technical Univ of Munich,64.69
26,51,Michigan State Univ,64.58
27,2,Univ of Michigan - Ann Arbor,63.7
28,33,South Dakota Sch of Mines & Tech,61.18
29,77,Wayne State Univ,60.49
30,19,Northwestern Univ,60.2
31,83,Minnesota State University - Mankato,60.14
32,49,Purdue Univ - W Lafayette,60.08
33,30,Univ of Toledo,59.64
34,92,Univ of Minnesota - Twin Cities,59.07
35,103P,enn State Univ - University Park,59.02
36,59,Rensselaer Polytechnic Inst,57.67
37,32,Universite de Sherbrooke,56.79
38,74,Michigan Tech Univ,56.71
39,24,Karlsruhe Institute of Technology,56.51
40,35,Brown Univ,54.85
40,64,Duke Univ,54.85
42,117N,orth Carolina State Univ - Raleigh,54.84
43,70,Univ of Applied Sciences - Graz,52.93
44,62,Virginia Tech,51.2
45,63,Rutgers Univ,51.15
46,96,Univ of Connecticut,50.1
47,68,Univ of Toronto,48.09
48,22,Univ of Evansville,47.59
49,90,Lehigh Univ,47.5
50,124U,niv of Western Ontario,46.54
51,115O,klahoma State Univ,45.87
52,67,Florida Atlantic Univ,45.05
53,23,Georgia Institute of Technology,44.67
54,93,Lawrence Technological Univ,44.04
55,69,Univ of New Hampshire,43.59
56,95,Univ of Manitoba,43.44
57,40,California State Poly Univ - Pomona,43.28
58,110N,orthern Illinois Univ,41.94
59,66,Villanova Univ,41.87
60,113U,niversidad Nacional Experimental Polite,41.44
61,39,Carnegie Mellon Univ,40.48
62,52,Lakehead Univ,40.18
63,48,Univ of Ontario Institute of Tech,40.03
64,47,Univ of Louisville,39.43
64,50,Western Michigan Univ,39.43
66,76,Bradley Univ,39.25
67,18,Dalhousie Univ,39.19
68,55,Worcester Polytechnic Inst,38.13
69,82,Univ of Central Florida,37.72
70,13,Centro Universitario Da FEI,37.71
71,75,Univ of Illinois - Urbana Champaign,36.67
71,107U,niversite Du Quebec a Trois-Rivieres,36.67
73,72,Universite Du Quebec-Chicoutimi,36.08
74,86,Georgia Southern Univ,35.92
75,44,Queen's Univ - Ontario Canada,35.85
76,105S,tevens Inst of Tech,35.59
77,97,Turabo Univ,35.02
78,57,York College of Pa,34.94
79,54,National Institute of Technology Karnataka,34.42
80,104C,egep du Vieux - Montreal,34.37
81,56,Clarkson University,33.98
82,102N,orth Dakota State Univ,33.42
83,71,Univ of Pittsburgh - Pittsburgh,32.72
84,17,Universidad Simon Bolivar,31.7
85,42,Washington Univ - St Louis,31.09
86,37,IUPUI,30.34
86,53,Rose Hulman Inst of Tech,30.34
88,31,Oakland University,30.08
89,16,US Air Force Academy,28.5
90,12,San Jose State University,27.14
91,101U,niv of Illinois - Chicago,26.4
92,89,Kumoh National Institute of Technology,21.74
93,112U,niv of Texas - San Antonio,19.29
94,123S,outhern Illinois Univ - Carbondale,17.17
95,106F,erris State University,15.0
,8,Univ of Michigan - Dearborn,
,14,Hope College,
,21,Southern Illinois Univ - Edwardville,
,25,Old Dominion Univ,
,26,Mississippi State Univ,
,38,Cooper Union,
,43,Univ of Guelph,
,58,Louisiana State Univ,
,60,Univ of South Florida,
,78,Iowa State Univ,
,79,Cedarville Univ,
,85,Lafayette College,
,87,Univ of Minnesota-Duluth,
,88,Ecole De Technologie Superieure,
,91,Middle Tennessee State Univ,
,94,Univ of Alabama - Tuscaloosa,
,98,Central Connecticut State Univ,
,99,Texas Tech Univ,
,100T,emple Univ,
,108U,niv of Maine,
,109E,scuela Sup De Ing Automotriz Tlalnepa,
,111U,niversidad Metropolitana,
,118R,yerson Univ,
,119U,niv of Waterloo,
,121U,niv of Windsor,
,122K,okushikan Univ,
