Place,CarNum,Team,AdjustedCost,PriceScore,RealCaseScore,ReportFeasibility,Penalty,Score
1,10,Kookmin Univ,"$10,129",37.7,39.2,20,,96.9
2,13,Centro Universitario Da FEI,"$9,775",40,37.5,18,,95.53
3,89,Kumoh National Institute of Technology,"$10,152",37.6,39.1,17,,93.66
4,68,Univ of Toronto,"$10,096",37.9,35,20,,92.89
5,46,Univ of Pennsylvania,"$10,576",35.1,35.6,20,,90.7
6,48,Univ of Ontario Institute of Tech,"$10,720",34.2,35.5,20,,89.74
7,115O,klahoma State Univ,"$9,969",38.7,30.9,20,,89.67
8,103P,enn State Univ - University Park,"$11,033",32.6,36.8,20,,89.34
9,101U,niv of Illinois - Chicago,"$9,894",39.2,31.1,18,,88.27
10,59,Rensselaer Polytechnic Inst,"$10,485",35.6,34.5,18,,88.05
11,110N,orthern Illinois Univ,"$11,464",30.4,37.4,20,,87.81
12,17,Universidad Simon Bolivar,"$11,817",28.7,38.6,20,,87.31
13,2,Univ of Michigan - Ann Arbor,"$11,393",30.7,37.9,17,,85.59
14,82,Univ of Central Florida,"$10,279",36.8,28.3,20,,85.12
15,64,Duke Univ,"$12,641",25.2,39.2,20,,84.38
16,65,McGill Univ,"$12,933",24.1,40,20,,84.07
17,73,Univ of Akron,"$12,199",27,36,20,,83.04
18,32,Universite de Sherbrooke,"$11,745",29.1,32.6,20,,81.69
19,63,Rutgers Univ,"$12,409",26.1,35.5,20,,81.65
20,12,San Jose State University,"$12,196",27,34.1,20,,81.16
21,40,California State Poly Univ - Pomona,"$13,085",23.5,37.6,20,,81.08
22,113U,niversidad Nacional Experimental Polite,"$13,383",22.4,38.6,20,,81
23,45,Univ of Wisconsin - Madison,"$12,292",26.6,34.4,20,,80.99
24,95,Univ of Manitoba,"$12,019",27.8,33.1,20,,80.93
25,55,Worcester Polytechnic Inst,"$11,803",28.8,31.9,20,,80.67
26,1,Oregon State Univ,"$12,493",25.8,34.5,20,,80.33
27,69,Univ of New Hampshire,"$11,250",31.4,27.5,20,,78.97
28,23,Georgia Institute of Technology,"$13,212",23,35.7,19,,77.73
29,124U,niv of Western Ontario,"$12,097",27.5,33.2,17,,77.65
30,96,Univ of Connecticut,"$13,003",23.8,33.7,20,,77.5
31,66,Villanova Univ,"$10,796",33.8,25.3,18,,77.12
32,72,Universite Du Quebec-Chicoutimi,"$11,218",31.6,28.9,16,,76.55
33,5,Rochester Institute of Technology,"$14,251",19.5,37,20,,76.51
34,34,Saginaw Valley State Univ,"$14,384",19.1,38.6,18,,75.68
35,51,Michigan State Univ,"$13,432",22.2,32.9,20,,75.17
36,84,Clemson Univ,"$14,115",19.9,37.1,18,,75.05
37,20,Oxford Brookes Univ,"$13,369",22.5,32,20,,74.48
38,71,Univ of Pittsburgh - Pittsburgh,"$11,333",31,26.1,17,,74.11
39,29,National Univ of Singapore,"$15,656",15.5,38.6,20,,74.07
