Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23,Lap24,Lap25,Lap26,Lap27,Lap28,Lap29,Lap30,Lap31
Oregon State Univ,1,54.092,52.719,52.541,52.146,51.908,51.283,51.822,51.489,51.939,51.444,51.719,51.674,51.965,53.834,DC,56.129,54.577,53.706,55.497,55.442,53.878,52.857,57.595,54.087,53.037,52.566,52.713,52.834,52.795,,1488.288
Univ of Michigan - Ann Arbor,2,60.500,57.435,57.379,56.465,61.250,56.175,57.240,58.165,55.877,56.706,54.896,55.228,54.693,55.322,DC,62.223,57.323,57.548,58.177,54.698,54.372,54.282,54.299,54.380,55.818,54.639,55.038,53.898,54.069,,1578.095
Graz University of Technology,3,60.367,56.299,55.150,54.143,53.357,53.374,52.732,52.207,54.468,51.923,53.361,54.207,52.041,52.729,DC,58.011,55.152,53.944,53.463,52.695,52.608,52.565,51.909,52.827,52.724,52.336,52.055,60.030,55.253,,1511.930
Rochester Institute of Technology,5,60.729,57.497,57.216,53.202,53.728,53.989,53.903,53.265,53.471,53.268,53.126,53.046,52.922,53.449,DC,57.309,55.138,54.081,56.128,53.097,53.656,53.028,53.341,52.944,52.078,55.103,53.973,,,,1412.687
Technical Univ of Munich,7,56.432,54.873,53.939,54.795,53.622,53.711,53.289,54.465,52.842,52.764,54.113,54.941,54.153,53.174,DC,59.068,55.187,54.365,53.036,52.754,52.727,52.343,54.515,52.094,52.309,52.640,52.001,52.146,52.988,,1505.286
Univ of Michigan - Dearborn,8,79.555,62.174,60.704,109.088,67.217,62.207,60.749,61.581,61.803,158.648,72.056,69.558,62.266,63.320,DC,82.283,75.289,74.949,77.320,74.499,75.046,,,,,,,,,,1510.312
Cornell Univ,9,61.430,60.197,61.238,58.224,59.315,67.817,58.555,58.343,57.523,58.114,60.717,62.430,57.532,60.227,DC,75.759,62.172,68.686,62.659,62.885,63.151,63.497,64.138,62.147,60.927,61.768,67.567,65.292,64.885,,1747.195
Kookmin University,10,64.246,140.101,83.788,135.984,70.072,64.809,63.239,67.159,66.477,70.165,68.239,65.003,62.876,62.960,62.335,DC,62.843,60.503,59.452,57.936,58.889,57.693,70.697,61.918,57.616,57.155,56.065,54.432,58.607,65.549,1986.808
Univ of Stuttgart,11,57.597,56.233,54.509,53.700,53.343,52.950,53.126,53.272,53.150,53.939,62.109,DC,59.467,55.769,53.943,54.168,52.781,52.815,58.916,52.540,52.952,52.199,51.974,52.369,51.775,54.682,52.729,52.532,52.430,,1517.969
San Jose State University,12,69.629,67.162,65.153,63.001,62.621,63.379,62.463,64.325,61.693,62.431,60.870,60.138,62.954,63.312,DC,75.686,72.619,70.374,66.987,67.353,73.632,70.268,78.581,83.430,82.965,74.719,79.852,80.886,74.493,,1940.976
