Place,CarNum,Team,D1R1_Right,D1R1_Left,D1R1_Cones,D1R1_AdjTime,D1R2_Right,D1R2_Left,D1R2_Cones,D1R2_AdjTime,D2R1_Right,D2R1_Left,D2R1_Cones,D2R1_AdjTime,D2R2_Right,D2R2_Left,D2R2_Cones,D2R2_AdjTime,BestTime,Score
1,70,Univ of Applied Sciences - Graz,5.307,5.224,,5.265,5.218,5.090,,5.154,5.295,5.203,,5.249,5.284,5.320,,5.302,5.154,50
2,3,Graz Univ of Technology,5.089,5.297,1,5.318,5.089,5.297,,5.193,5.287,5.262,,5.274,5.172,5.170,,5.171,5.171,48.98
3,41,University of Applied Sciences Zwickau,5.562,5.141,,5.351,5.851,5.134,,5.492,5.406,5.147,,5.276,5.203,5.149,,5.176,5.176,48.68
4,1,Oregon State Univ,5.961,5.074,,5.517,5.383,5.130,,5.256,5.273,5.143,,5.208,5.253,5.103,,5.178,5.178,48.56
5,49,Purdue Univ - W Lafayette,5.617,5.272,,5.444,5.286,5.089,,5.187,5.576,,1,,5.389,5.268,,5.328,5.187,48.03
6,75,Univ of Illinois - Urbana Champaign,5.360,5.377,,5.368,5.325,5.068,,5.196,,,,DNA,,,,DNA,5.196,47.5
7,80,Universite Laval,,,,,5.269,5.127,,5.198,5.588,5.470,,5.529,5.664,5.847,,5.755,5.198,47.38
8,65,McGill Univ,5.433,5.564,,5.498,5.535,5.491,,5.513,5.264,5.311,1,5.412,5.245,5.164,,5.204,5.204,47.03
9,7,Technical Univ of Munich,,,,DNA,,,,DNA,5.279,5.155,,5.217,5.511,5.298,,5.404,5.217,46.27
10,9,Cornell Univ,5.240,5.216,,5.228,5.286,5.169,,5.227,5.561,,1,,5.473,5.386,,5.429,5.227,45.69
11,89,Kumoh National Institute of Technology,5.428,5.055,,5.241,6.145,5.108,,5.626,5.608,5.518,,5.563,5.412,5.320,,5.366,5.241,44.88
12,11,Univ of Stuttgart,5.311,5.175,,5.243,5.360,5.160,,5.260,5.562,5.452,1,5.632,5.460,5.222,,5.341,5.243,44.76
13,2,Univ of Michigan - Ann Arbor,5.513,5.238,,5.375,5.470,5.221,,5.345,5.240,5.267,,5.253,5.308,5.261,,5.284,5.253,44.19
14,45,Univ of Wisconsin - Madison,5.227,6.180,1,5.828,5.279,6.331,2,6.055,5.343,5.165,,5.254,5.251,,2,,5.254,44.14
15,46,Univ of Pennsylvania,5.266,5.602,,5.434,5.272,5.253,,5.262,5.379,5.366,1,5.497,5.398,5.373,,5.385,5.262,43.68
15,67,Florida Atlantic Univ,5.356,5.168,,5.262,5.168,5.373,,5.270,20.067,5.561,,12.814,5.414,5.287,,5.350,5.262,43.68
17,68,Univ of Toronto,5.580,5.271,1,5.550,5.461,5.261,,5.361,5.386,5.219,,5.302,5.320,5.217,,5.268,5.268,43.34
18,5,Rochester Institute of Technology,5.479,5.152,,5.315,,,,,5.434,5.379,,5.406,5.340,5.229,,5.284,5.284,42.44
19,103P,enn State Univ - University Park,,,,DNA,,,,DNA,5.294,5.319,,5.306,5.483,5.475,,5.479,5.306,41.22
20,13,Centro Universitario Da FEI,5.415,5.224,,5.319,,,,DNA,5.424,5.612,,5.518,5.756,5.667,,5.711,5.319,40.5
21,29,National Univ of Singapore,5.480,5.357,1,5.543,6.411,5.682,2,6.296,5.235,5.412,,5.323,5.450,5.689,1,5.694,5.323,40.28
22,20,Oxford Brookes Univ,5.553,5.185,,5.369,5.554,5.140,,5.347,5.792,5.716,,5.754,5.840,5.510,,5.675,5.347,38.97
23,81,Auburn Univ,5.547,5.503,,5.525,,,,,5.436,5.441,,5.438,5.325,5.372,,5.348,5.348,38.92
24,928U,niv of Florida,5.548,5.942,1,5.870,5.356,5.474,1,5.540,5.691,5.386,,5.538,5.304,5.414,,5.359,5.359,38.33
25,10,Kookmin Univ,,,,DNA,,,,DNA,5.391,5.333,,5.362,5.340,5.506,,5.423,5.362,38.17
25,33,South Dakota Sch of Mines & Tech,5.334,5.391,,5.362,5.421,5.753,3,5.962,5.324,5.649,,5.486,5.296,5.320,1,5.433,5.362,38.17
27,40,California State Poly Univ - Pomona,,,,DNA,,,,DNA,5.435,5.323,,5.379,5.437,5.664,,5.550,5.379,37.26
28,53,Rose Hulman Inst of Tech,5.402,6.065,1,5.858,5.560,5.289,,5.424,5.517,5.373,,5.445,5.327,5.443,,5.385,5.385,36.94
29,27,Univ of Applied Sciences Amberg-Weiden,5.593,5.540,,5.566,5.469,5.549,,5.509,5.531,5.461,,5.496,5.342,5.443,,5.392,5.392,36.57
30,116C,olorado State University,5.747,5.384,,5.565,,,,,5.547,5.409,1,5.603,5.510,5.312,,5.411,5.411,35.58
