Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_AdjTime,BestTime,Score
1,6,Univ of Michigan - Ann Arbor,4.288,,4.288,4.219,,4.219,4.231,,4.231,4.112,,4.112,4.112,75
2,4,Graz Univ of Technology,4.396,,4.396,4.425,,4.425,4.255,,4.255,4.203,,4.203,4.203,69.68
3,27,Michigan State Univ,5.108,,5.108,4.774,,4.774,4.573,,4.573,4.204,,4.204,4.204,69.62
4,11,Ecole De Technologie Superieure,4.410,,4.410,4.284,,4.284,4.279,,4.279,4.258,,4.258,4.258,66.58
5,59,North Carolina State Univ - Raleigh,4.260,,4.260,4.265,,4.265,,,DNA,,,DNA,4.260,66.47
6,2,Technical Univ of Munich,4.504,,4.504,4.535,,4.535,,,,4.276,,4.276,4.276,65.58
7,108,Univ of Minnesota - Twin Cities,4.380,,4.380,4.290,,4.290,,,DNA,,,DNA,4.290,64.81
8,19,Rensselaer Polytechnic Inst,4.343,,4.343,4.536,,4.536,4.304,,4.304,4.139,1,6.139,4.304,64.04
9,118,Metropolia University of Applied Science,4.647,,4.647,4.490,,4.490,4.408,,4.408,4.321,,4.321,4.321,63.12
10,14,Karlsruhe Institute of Technology,4.420,,4.420,4.400,,4.400,4.377,,4.377,4.326,,4.326,4.326,62.85
11,3,Universitat Stuttgart,4.395,,4.395,4.329,,4.329,4.495,,4.495,,,DNA,4.329,62.69
11,120,Virginia Tech,4.329,,4.329,4.548,,4.548,4.521,,4.521,4.383,,4.383,4.329,62.69
13,36,Univ of Waterloo,4.407,,4.407,4.386,,4.386,,,DNA,,,DNA,4.386,59.65
14,62,Univ of Toledo,4.976,,4.976,5.065,,5.065,4.644,,4.644,4.396,,4.396,4.396,59.13
15,35,Oakland University,5.089,,5.089,4.910,,4.910,4.475,,4.475,4.430,,4.430,4.430,57.37
16,89,Duke Univ,4.581,,4.581,4.656,,4.656,4.522,,4.522,4.432,,4.432,4.432,57.26
17,49,Friedrich Alexander Univ of Erlangen,4.499,,4.499,4.438,,4.438,,,DNA,,,DNA,4.438,56.95
18,96,Univ of Guelph,4.693,,4.693,4.606,,4.606,4.440,,4.440,4.446,,4.446,4.440,56.85
19,39,Auburn Univ,4.600,,4.600,4.507,,4.507,4.659,1,6.659,4.447,,4.447,4.447,56.49
20,119,UAS Esslingen,4.485,,4.485,4.457,,4.457,,,DNA,,,DNA,4.457,55.98
21,58,Rutgers Univ,4.644,,4.644,4.667,,4.667,4.523,,4.523,4.492,,4.492,4.492,54.22
21,97,Villanova Univ,4.614,,4.614,4.492,,4.492,5.112,,5.112,4.671,,4.671,4.492,54.22
23,50,San Jose State University,4.506,,4.506,5.564,,5.564,,,DNA,,,DNA,4.506,53.52
24,68,Southern Polytechnic State Univ,4.727,,4.727,4.802,,4.802,4.621,,4.621,4.507,,4.507,4.507,53.47
25,42,Kookmin Univ,4.650,,4.650,4.593,,4.593,4.508,,4.508,4.685,,4.685,4.508,53.42
26,73,Universite Laval,4.515,,4.515,4.568,,4.568,4.772,,4.772,4.572,,4.572,4.515,53.07
27,48,Concordia University,5.234,,5.234,4.558,,4.558,6.152,,6.152,4.526,,4.526,4.526,52.53
28,1,Oregon State Univ,4.709,,4.709,4.571,,4.571,,,,4.537,,4.537,4.537,51.99
29,54,Univ of Michigan - Dearborn,4.734,,4.734,4.538,,4.538,5.170,,5.170,5.276,,5.276,4.538,51.94
30,43,Brown Univ,6.118,,6.118,4.564,,4.564,,,DNA,,,DNA,4.564,50.67
31,8,Univ of Akron,4.705,,4.705,4.607,,4.607,4.725,,4.725,4.578,,4.578,4.578,49.99
32,45,Missouri University of Science and Tech,4.711,,4.711,4.705,,4.705,4.726,,4.726,4.591,,4.591,4.591,49.37
33,21,Rose Hulman Inst of Tech,4.952,,4.952,4.877,,4.877,4.965,,4.965,4.593,,4.593,4.593,49.27
34,71,Clemson Univ,4.820,,4.820,4.788,,4.788,4.679,,4.679,4.608,,4.608,4.608,48.56
35,16,Universidad Simon Bolivar,5.322,,5.322,5.142,,5.142,5.057,,5.057,4.617,,4.617,4.617,48.13
