Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23,Lap24
Oregon State Univ,1,54.041,53.279,55.198,52.759,51.837,51.721,51.532,51.821,51.794,51.659,,55.268,53.699,54.017,52.918,52.633,52.677,60.615,52.138,52.015,51.439,,,1063.060
Technical Univ of Munich,2,59.007,58.525,57.423,56.644,56.059,55.411,62.325,54.664,54.691,54.061,,60.402,58.001,56.109,56.056,55.308,57.652,55.648,54.629,74.348,57.021,,,1153.984
Universitat Stuttgart,3,59.975,56.655,56.889,56.641,56.872,57.137,57.314,56.577,56.689,56.827,55.941,,60.525,59.045,62.151,57.511,57.260,57.173,56.667,57.421,55.789,,,1151.059
Graz Univ of Technology,4,63.491,62.634,58.830,58.063,56.799,57.808,57.668,56.639,56.589,56.319,,61.233,60.174,60.926,60.024,57.240,58.076,57.363,56.619,56.589,56.399,,,1169.483
Univ of Wisconsin - Madison,5,65.081,60.944,60.771,60.833,59.932,60.186,60.063,60.351,60.171,60.398,,72.179,64.110,62.773,62.716,62.570,61.725,61.987,61.515,62.931,60.292,,,1241.528
Univ of Michigan - Ann Arbor,6,60.323,57.576,56.535,56.637,58.325,56.505,55.723,56.203,56.264,55.187,,60.570,58.145,57.308,55.656,55.908,54.902,55.229,54.531,55.005,54.797,,,1131.329
Univ of Akron,8,64.021,60.960,59.919,59.501,61.270,62.026,58.605,61.575,58.083,57.976,,61.112,58.910,70.557,57.260,73.996,58.265,56.926,55.983,57.733,56.424,,,1211.102
Univ of Kansas - Lawrence,9,56.640,55.403,,,,,,,,,,,,,,,,,,,,,,112.043
Ecole De Technologie Superieure,11,61.667,61.170,59.174,58.502,60.479,58.569,59.553,59.400,58.341,59.639,,62.816,59.941,59.491,58.261,57.226,57.045,57.965,56.051,56.239,55.722,,,1177.251
Univ of South Florida,13,69.352,74.502,67.321,68.206,78.783,76.188,87.148,78.288,71.703,64.833,,69.481,64.451,67.779,68.996,90.578,72.009,,,,,,,1169.618
Karlsruhe Institute of Technology,14,57.680,55.341,54.528,54.299,54.601,54.819,54.167,55.437,54.628,54.143,,55.282,53.278,52.504,52.129,71.159,51.642,51.737,51.319,50.914,51.006,,,1090.613
US Naval Academy,15,80.658,73.158,72.320,72.941,84.099,73.875,74.843,72.664,82.682,69.664,,81.389,72.182,70.123,67.707,65.797,68.124,64.835,67.445,68.523,65.135,,,1448.164
Universidad Simon Bolivar,16,67.445,64.215,61.773,60.394,59.600,60.262,60.242,58.682,67.351,59.244,,68.852,63.843,63.735,63.097,63.149,61.126,60.219,68.212,73.335,70.568,,,1275.344
US Air Force Academy,17,71.775,79.528,74.677,74.787,72.805,76.020,72.823,69.535,69.056,67.978,,77.555,73.860,75.976,70.701,72.934,71.498,71.228,69.241,71.165,70.196,,,1453.338
Rensselaer Polytechnic Inst,19,61.968,59.715,57.980,58.788,58.299,58.874,59.052,58.381,60.794,58.579,,,,,,,,,,,,,,592.430
Rose Hulman Inst of Tech,21,67.256,65.773,67.868,62.772,61.031,60.580,64.754,61.825,61.147,61.078,,62.269,58.675,58.212,60.137,60.974,58.721,57.948,57.643,57.707,58.285,,,1224.655
Universite de Sherbrooke,24,,72.464,72.122,85.357,,,,,,,,,,,,,,,,,,,,229.943
Lafayette College,26,80.055,72.835,74.136,80.916,71.704,,,,,,,,,,,,,,,,,,,379.646
Michigan State Univ,27,72.694,70.080,66.360,65.504,63.472,63.294,67.766,64.020,64.039,63.155,,,,,,,,,,,,,,660.384
Univ of Florida,29,69.501,64.867,63.463,62.561,61.698,61.785,63.504,60.653,60.786,60.384,,64.273,61.840,60.211,62.104,61.328,60.502,63.250,67.934,63.825,63.255,,,1257.724
South Dakota Sch of Mines & Tech,30,65.269,,61.284,58.600,58.499,57.697,57.884,58.274,58.246,67.234,57.712,,,,,,,,,,,,,600.699
Lakehead Univ,31,89.005,82.338,74.518,73.458,71.113,69.937,69.448,69.992,73.654,69.520,,71.547,68.493,66.193,65.911,64.200,66.278,67.183,69.283,67.874,68.163,,,1418.108
Univ of St Thomas,32,88.389,84.323,80.053,80.410,84.008,76.677,104.714,77.899,73.500,73.434,,74.723,70.612,72.208,69.219,68.830,67.761,67.005,69.279,65.447,65.626,,,1514.117
Univ of Victoria,33,65.956,63.787,61.915,62.698,61.299,61.523,64.041,60.329,61.987,60.382,,72.719,70.822,81.158,82.361,71.346,68.912,,,,,,,1071.235
National Univ of Singapore,34,69.896,68.314,67.597,80.191,68.542,76.626,69.501,66.685,65.547,70.333,,72.771,70.209,70.180,67.256,68.202,64.586,65.198,79.008,66.630,66.452,,,1393.724
Oakland University,35,63.111,62.299,63.920,61.923,61.056,61.318,63.074,61.605,61.941,61.686,,64.746,63.953,62.699,65.593,61.366,68.336,61.681,60.031,60.560,60.476,,,1251.374
Univ of Waterloo,36,79.965,75.738,75.184,74.640,83.779,80.869,,,,,,,,,,,,,,,,,,470.175
Univ of Hartford,37,76.698,72.042,,,,,,,,,,,,,,,,,,,,,,148.740
Auburn Univ,39,66.682,64.771,63.914,61.453,61.114,61.074,59.851,61.988,60.501,61.873,,,,,,,,,,,,,,623.221
Lehigh Univ,40,69.092,,,,,,,,,,,,,,,,,,,,,,,69.092
Louisiana State Univ,41,75.881,71.431,,,,,,,,,,,,,,,,,,,,,,147.312
Kookmin Univ,42,63.622,61.533,61.219,62.654,,,,,,,,,,,,,,,,,,,,249.028
Brown Univ,43,76.364,69.658,67.277,63.950,72.408,66.948,79.090,68.361,63.218,65.665,,75.456,68.245,67.980,93.510,68.292,69.937,82.327,66.866,70.448,73.291,,,1429.291
Washington Univ - St Louis,44,84.795,,,,,,,,,,,,,,,,,,,,,,,84.795
Missouri University of Science and Tech,45,57.154,54.651,53.663,53.254,54.894,53.494,52.826,51.653,51.594,52.301,,56.567,55.879,54.114,53.076,53.781,54.577,53.122,90.628,,,,,1007.228
Columbia Univ,46,68.854,66.724,68.167,68.514,67.477,77.511,66.122,73.640,65.835,74.206,,69.243,69.331,67.753,66.679,65.190,70.820,97.597,64.362,64.780,71.742,,,1404.547
Dalhousie Univ,47,70.924,67.340,64.404,67.187,73.212,,,,,,,,,,,,,,,,,,,343.067
Concordia University,48,68.762,64.618,64.330,64.821,63.794,63.621,65.540,64.643,63.705,63.274,,70.963,70.747,66.494,66.314,64.381,176.009,,,,,,,1162.016
Friedrich Alexander Univ of Erlangen,49,61.252,58.109,57.540,56.597,60.189,58.853,57.989,57.759,58.128,57.175,,62.738,60.510,62.520,59.868,58.726,60.705,58.448,59.830,59.428,59.445,,,1185.809
San Jose State University,50,69.491,62.895,66.530,61.579,60.580,60.123,60.281,59.249,62.216,74.121,,62.888,61.629,93.467,74.372,65.427,66.394,64.943,62.795,63.268,64.874,,,1317.122
