Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23,Lap24,Lap25
Universitat Stuttgart,3,59.081,57.632,59.200,61.321,59.752,59.184,60.205,60.066,56.129,59.661,60.711,61.632,,64.056,61.621,60.677,60.207,59.135,59.194,59.134,59.459,59.100,57.870,73.874,58.050
Univ of Michigan - Ann Arbor,5,61.912,,,,,,,,,,,,,,,,,,,,,,,,
Graz Univ of Technology,6,60.805,60.624,58.179,57.084,66.830,62.275,61.496,61.514,58.031,57.076,56.847,59.090,,66.283,68.218,67.477,66.015,63.938,61.744,63.341,63.880,63.954,62.436,64.016,64.181
Ecole De Technologie Superieure,8,63.093,74.554,59.236,57.152,56.292,58.203,58.395,56.352,54.278,54.332,57.165,59.561,,62.254,60.265,62.254,61.782,62.121,62.167,60.437,59.849,60.994,59.579,59.153,59.976
Univ of Wisconsin - Madison,10,61.852,58.817,58.545,59.768,62.713,57.697,58.272,58.070,58.450,58.717,58.800,58.023,,,,,,,,,,,,,
Univ of Kansas - Lawrence,11,66.372,64.505,65.893,61.914,63.534,60.321,63.287,65.668,64.237,65.620,66.861,66.520,,64.194,63.395,62.736,,,,,,,,,
Centro Universitario Da FEI,13,59.220,58.348,58.568,57.414,57.826,56.257,56.374,57.830,57.173,56.827,55.116,55.990,,64.326,62.010,62.034,61.157,60.220,62.809,60.077,63.127,61.115,60.481,64.266,61.613
Missouri University of Science and Tech,14,56.340,56.196,55.722,53.909,56.668,56.443,56.370,61.682,58.362,60.462,60.547,59.917,,,,,,,,,,,,,
Michigan State Univ,15,64.080,58.103,56.892,57.022,56.361,59.846,56.211,56.431,55.210,56.932,54.478,55.000,,59.353,58.117,56.813,59.446,56.557,55.291,56.694,57.821,55.184,54.810,55.181,56.039
Universidad Simon Bolivar,17,60.026,56.916,62.328,68.378,68.457,56.375,56.850,57.122,56.118,55.148,56.270,58.430,,60.332,60.790,57.865,61.480,58.030,57.668,61.139,55.897,57.097,63.445,59.461,56.124
US Air Force Academy,18,72.254,69.602,73.246,71.636,68.504,67.213,68.107,67.295,68.571,73.279,68.064,71.647,,,,,,,,,,,,,
Columbia Univ,19,73.306,79.016,67.619,69.853,65.346,70.568,64.827,65.316,70.360,64.011,67.244,82.696,78.919,,73.611,65.112,63.089,65.313,,,,,,,
Dalhousie Univ,21,76.938,71.507,68.220,67.081,68.260,67.649,67.179,68.703,75.749,66.975,69.276,66.234,,84.284,78.030,73.150,72.361,71.455,87.077,76.911,71.947,73.342,70.333,70.545,72.286
North Carolina State Univ - Raleigh,22,64.586,62.155,61.260,59.230,64.769,59.897,61.773,,,,,,,,,,,,,,,,,,
Univ of Pittsburgh - Pittsburgh,25,60.019,62.630,61.697,59.157,61.260,62.086,73.528,59.861,64.994,63.880,60.726,59.609,,,,,,,,,,,,,
Queen's Univ - Ontario Canada,26,73.355,74.648,72.194,70.911,68.539,70.942,74.758,71.673,68.779,78.142,68.729,72.834,,79.394,78.123,77.912,81.197,79.444,106.137,76.149,73.596,73.276,73.125,72.023,71.173
York College of Pa,27,110.714,90.066,89.128,85.108,82.935,79.578,80.292,92.473,88.108,92.024,77.337,78.059,,114.750,103.160,108.011,103.574,93.010,87.246,86.900,102.417,74.517,85.768,85.659,74.241
Purdue Univ - W Lafayette,29,60.172,59.943,58.751,59.656,60.396,62.082,59.404,61.055,63.470,62.754,64.728,65.991,,62.995,61.368,60.732,62.431,61.121,62.575,62.695,60.833,60.695,60.832,60.994,65.364
Universite Du Quebec-Chicoutimi,30,74.461,75.864,78.142,73.951,73.766,71.415,69.755,73.454,70.208,70.387,70.524,70.538,,81.526,110.185,84.565,100.994,72.491,72.472,77.783,75.969,74.941,73.785,75.507,73.110
Univ of Toledo,31,68.099,61.108,60.595,60.409,59.792,60.554,60.067,61.259,59.324,,,,,,,,,,,,,,,,
Brown Univ,32,93.001,78.806,78.226,71.822,69.865,72.416,76.019,100.230,72.311,78.407,78.226,75.505,,,,,,,,,,,,,
Univ of Missouri,33,73.184,67.500,68.794,79.079,74.811,70.682,69.546,68.650,69.420,88.456,73.220,68.235,,67.600,64.267,65.245,68.315,70.721,,,,,,,
San Jose State University,35,66.612,69.951,66.521,69.625,66.927,61.588,59.961,57.112,60.763,58.535,59.948,60.953,,60.982,59.055,58.359,59.706,,,,,,,,
Univ of Minnesota - Twin Cities,36,64.707,64.503,70.863,64.813,67.596,74.651,73.565,68.984,72.603,76.605,75.534,75.951,,71.368,68.937,66.183,67.725,68.862,66.111,65.982,67.452,65.110,66.463,65.959,67.307
Lafayette College,37,91.961,112.263,88.420,118.345,78.118,76.085,77.461,75.432,78.081,70.927,71.226,73.353,,75.073,77.028,67.704,71.849,73.787,66.891,71.627,68.532,,,,
Oakland University,38,62.686,75.315,70.344,65.301,74.842,61.730,65.524,60.130,59.749,59.148,63.105,67.769,,63.713,62.176,61.276,61.086,62.303,67.716,64.201,58.891,57.482,58.384,58.795,60.992
Ohio State Univ,39,61.414,60.119,59.280,59.632,62.118,59.656,58.622,59.748,58.449,60.311,59.823,59.178,,63.757,72.591,62.555,61.506,62.016,60.945,61.472,60.700,62.518,60.428,63.301,65.326
Southern Polytechnic State Univ,41,69.979,72.056,191.517,65.638,65.513,65.921,61.570,61.620,61.645,66.353,63.078,61.466,,67.353,65.285,63.085,64.186,68.647,64.510,64.475,66.496,63.773,64.363,63.041,63.001
Univ of Maryland - College Park,42,55.868,59.491,58.194,58.821,56.731,57.523,56.725,56.556,58.067,57.639,58.698,58.010,,58.079,55.829,57.335,57.467,55.344,55.115,54.890,54.477,54.970,54.683,,
Univ of North Florida,47,91.093,85.386,75.868,106.154,85.920,85.190,95.113,74.666,77.328,81.728,99.287,83.167,,74.975,74.664,69.305,68.699,68.020,66.820,64.573,67.737,67.482,65.512,65.227,64.697
Georgia Institute of Technology,48,71.761,70.411,72.688,70.661,69.632,68.119,67.756,65.648,73.230,70.225,67.946,67.490,,71.466,76.556,69.849,69.413,67.924,67.582,69.047,74.978,69.532,65.402,68.894,67.234
Univ of New Hampshire,49,71.497,67.448,69.392,70.162,62.398,69.119,63.691,81.894,70.097,70.724,69.291,73.095,,73.817,73.080,67.569,66.414,65.077,66.432,64.403,65.733,65.621,69.919,66.471,61.439
Univ of Akron,50,57.487,56.217,55.127,54.901,54.768,53.825,55.032,54.431,54.770,54.229,58.020,54.161,,57.258,54.983,56.767,55.124,54.481,60.430,59.144,60.500,60.736,58.888,61.932,60.014
Western Washington Univ,51,62.090,66.826,61.292,60.658,59.643,63.930,61.309,60.035,61.026,59.803,59.458,60.301,,81.612,61.649,63.009,61.741,61.730,64.351,59.359,59.506,61.127,60.677,62.584,65.704
Florida Inst of Tech,52,71.409,68.160,68.598,67.807,70.944,112.661,82.682,75.304,78.454,74.293,72.108,70.347,,,,,,,,,,,,,
Washington Univ - St Louis,53,82.896,77.521,70.289,73.139,72.900,75.620,72.472,73.411,76.334,74.273,71.793,73.077,,64.939,65.565,64.278,67.209,69.083,65.652,64.626,66.096,66.833,68.355,66.384,74.732
Univ of Maine,54,87.840,81.049,77.345,126.337,76.993,81.036,70.441,82.340,89.694,72.776,79.184,70.779,,84.274,84.524,77.181,69.443,77.532,78.462,74.483,,,,,
Western Michigan Univ,55,86.681,81.480,78.178,77.683,,,,,,,,,,,,,,,,,,,,,
Univ of Illinois - Chicago,57,76.596,100.510,74.264,69.108,70.554,71.142,67.291,66.711,68.571,64.424,67.878,67.225,,,,,,,,,,,,,
Univ of Cincinnati,58,60.344,59.670,59.106,62.517,59.369,58.471,59.399,62.376,58.237,57.838,58.712,60.920,,59.755,69.195,58.900,60.915,62.851,58.034,,,,,,
Cooper Union,63,90.500,94.345,91.316,89.631,97.078,128.682,88.135,92.065,86.392,86.058,82.856,83.301,86.844,83.471,,79.031,78.952,101.980,108.657,108.313,,,,,
Louisiana State Univ,64,92.188,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota Sch of Mines & Tech,66,66.750,64.233,88.817,66.962,66.851,82.408,62.370,81.237,65.914,70.211,74.017,63.862,,,,,,,,,,,,,
Carnegie Mellon Univ,67,75.750,65.178,82.640,65.386,65.212,65.931,67.040,68.717,71.928,62.427,65.481,71.803,,,,,,,,,,,,,
Universite Du Quebec a Trois-Rivieres,68,68.816,63.817,62.505,60.107,58.801,58.307,79.640,61.613,61.534,64.224,60.348,63.766,,72.315,68.371,63.702,59.704,59.798,62.655,61.000,60.719,64.038,65.575,61.894,61.527
Lakehead Univ,69,128.654,86.247,124.105,155.931,256.245,,,,,,,,,,,,,,,,,,,,
Saginaw Valley State Univ,71,63.889,67.699,63.611,64.183,62.243,62.089,60.579,59.727,60.957,59.465,74.620,60.225,,,,,,,,,,,,,
