Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Score
1,23,Oregon State Univ,54.039,,,54.039,51.754,,,51.754,51.477,,,51.477,49.890,,,49.890,49.890,150
2,21,Technical Univ of Munich,,,,,56.135,,,56.135,51.386,,,51.386,50.690,,,50.690,50.690,142.75
3,66,Fachhochschule Hamburg,53.197,,,53.197,52.952,1,,54.952,61.543,1,,63.543,50.993,,,50.993,50.993,140.07
4,14,Karlsruhe Institute of Technology,53.459,1,,55.459,52.823,,,52.823,55.445,,,55.445,55.891,1,,57.891,52.823,124.51
5,1,Universitat Stuttgart,55.029,,,55.029,51.127,1,,53.127,54.060,,,54.060,53.449,,,53.449,53.127,122.02
6,3,Univ of Akron,55.378,,,55.378,53.499,,,53.499,56.954,1,,58.954,54.642,,,54.642,53.499,119.03
7,77,Rochester Institute of Technology,58.355,1,,60.355,55.989,1,,57.989,58.548,,,58.548,53.732,,,53.732,53.732,117.17
8,112,FH - Joanneum Graz,55.485,,1,75.485,53.815,,,53.815,,,,DNA,,,,DNA,53.815,116.51
9,43,San Jose State University,53.925,,,53.925,54.352,,,54.352,61.978,,1,81.978,58.753,,,58.753,53.925,115.64
10,36,Univ of Michigan - Ann Arbor,56.649,,,56.649,54.435,,,54.435,56.243,,,56.243,54.614,,,54.614,54.435,111.66
11,114,Virginia Tech,55.658,1,,57.658,54.879,,,54.879,59.741,,1,79.741,56.727,1,,58.727,54.879,108.26
12,65,Universite Du Quebec a Trois-Rivieres,60.292,,,60.292,70.055,1,,72.055,57.269,,,57.269,55.184,,,55.184,55.184,105.95
13,13,Missouri University of Science and Tech,56.030,1,1,78.030,55.437,,,55.437,57.864,,,57.864,54.307,1,1,76.307,55.437,104.06
14,15,Univ of Kansas - Lawrence,55.499,,,55.499,55.495,,,55.495,54.090,1,,56.090,53.900,1,,55.900,55.495,103.63
15,10,Univ of Florida,62.998,,2,102.998,62.046,1,,64.046,56.866,,,56.866,55.844,,,55.844,55.844,101.05
16,84,Purdue Univ - W Lafayette,70.667,,,70.667,64.167,,,64.167,56.414,,,56.414,55.845,,,55.845,55.845,101.04
17,12,Auburn Univ,61.141,,,61.141,57.937,,,57.937,58.115,,1,78.115,55.975,,,55.975,55.975,100.09
18,57,Univ of Toledo,57.769,,1,77.769,57.671,,1,77.671,57.578,,,57.578,56.163,,,56.163,56.163,98.72
19,5,Université Laval,57.683,,,57.683,55.084,2,,59.084,75.600,2,1,99.600,54.856,1,,56.856,56.856,93.74
20,113,Univ of Wisconsin - Madison,58.700,,,58.700,57.065,,,57.065,55.927,,3,115.927,57.078,,,57.078,57.065,92.27
21,22,California State Poly Univ - Pomona,59.669,1,,61.669,57.152,,,57.152,57.848,1,,59.848,58.480,,,58.480,57.152,91.66
22,8,Centro Universitario Da FEI,65.233,,,65.233,60.246,,,60.246,57.604,1,,59.604,57.232,,,57.232,57.232,91.1
23,44,Ohio State Univ,60.457,,,60.457,58.201,,,58.201,57.578,,1,77.578,55.234,1,,57.234,57.234,91.08
24,50,Saginaw Valley State Univ,72.282,,,72.282,65.054,,,65.054,59.969,1,,61.969,58.265,,,58.265,58.265,84.0
25,126,Univ of Waterloo,59.583,,,59.583,58.287,,,58.287,59.927,,1,79.927,58.472,,,58.472,58.287,83.85
26,4,Ecole De Technologie Superieure,56.444,1,,58.444,55.953,3,,61.953,56.375,,1,76.375,,,,DNA,58.444,82.8
27,60,Univ of Western Ontario,57.353,,1,77.353,53.688,,1,73.688,62.913,,1,82.913,58.460,,,58.460,58.460,82.69
28,17,Univ of Illinois - Urbana Champaign,55.990,1,1,77.990,58.514,,,58.514,60.302,,2,100.302,64.453,,,64.453,58.514,82.33
29,25,Universidad Simon Bolivar,65.186,,,65.186,91.505,,1,111.505,62.988,,,62.988,58.804,,,58.804,58.804,80.4
30,80,Kookmin Univ,59.457,1,,61.457,56.944,1,,58.944,63.742,1,,65.742,60.340,,,60.340,58.944,79.47
31,32,Univ of Minnesota - Twin Cities,69.783,,,69.783,67.490,,,67.490,59.490,,,59.490,DQ,,,,59.490,75.91
32,47,Univ of Michigan - Dearborn,62.454,2,,66.454,59.697,,,59.697,61.826,5,,71.826,59.282,,1,79.282,59.697,74.57
33,62,Univ of Missouri,64.938,,,64.938,60.213,,,60.213,66.623,,,66.623,57.048,2,,61.048,60.213,71.28
34,88,California Polytechnic State Univ-SLO,65.366,,,65.366,60.327,,,60.327,,,,DNA,,,,DNA,60.327,70.56
35,64,Duke Univ,63.550,,,63.550,59.510,1,,61.510,59.692,1,1,81.692,60.819,,,60.819,60.819,67.49
36,9,Michigan State Univ,68.007,,1,88.007,62.786,,1,82.786,66.341,,,66.341,61.013,,,61.013,61.013,66.29
37,6,Cornell Univ,61.273,,,61.273,61.391,,,61.391,,,,DNA,,,,DNA,61.273,64.7
38,45,Oklahoma State Univ,76.785,,,76.785,73.782,,,73.782,63.592,1,1,85.592,61.361,,,61.361,61.361,64.16
39,90,Texas Tech Univ,62.858,2,,66.858,58.745,2,,62.745,61.681,,,61.681,73.047,2,,77.047,61.681,62.23
40,31,Georgia Institute of Technology,61.757,,,61.757,77.123,1,1,99.123,75.317,,1,95.317,,,,DNA,61.757,61.77
41,42,Villanova Univ,75.221,1,,77.221,68.974,3,,74.974,64.137,,,64.137,60.275,1,,62.275,62.275,58.68
42,20,Univ of South Florida,65.200,,,65.200,62.763,,,62.763,,,,DNA,,,,DNA,62.763,55.82
43,105,Mississippi State Univ,66.027,1,1,88.027,65.918,,,65.918,63.796,,1,83.796,63.209,,,63.209,63.209,53.25
44,73,Universite Du Quebec-Chicoutimi,67.167,,1,87.167,63.305,,,63.305,75.998,,2,115.998,69.191,,,69.191,63.305,52.7
45,82,Univ of Connecticut,67.485,,2,107.485,63.407,,,63.407,61.912,,1,81.912,,,,DNA,63.407,52.12
46,48,Oakland University,63.242,1,,65.242,61.528,1,,63.528,63.247,,1,83.247,65.536,2,,69.536,63.528,51.43
47,79,Old Dominion Univ,73.004,1,1,95.004,65.667,,,65.667,74.122,2,2,118.122,63.967,,,63.967,63.967,48.95
48,103,Univ of Evansville,64.246,,,64.246,65.189,1,,67.189,68.378,,1,88.378,65.386,1,,67.386,64.246,47.4
49,98,Rose Hulman Inst of Tech,71.798,,,71.798,65.729,,,65.729,72.354,,,72.354,64.281,,,64.281,64.281,47.21
50,11,Instituto Maua de Tecnologia,71.666,3,,77.666,65.749,1,1,87.749,64.360,,,64.360,60.320,,1,80.320,64.360,46.77
51,108,Louisiana State Univ,75.338,,1,95.338,66.447,,,66.447,68.148,1,2,110.148,62.467,1,,64.467,64.467,46.18
52,94,West Virginia Univ,69.541,1,2,111.541,66.017,2,3,130.017,64.630,,2,104.630,62.658,1,,64.658,64.658,45.13
53,78,Western Michigan Univ,74.378,,1,94.378,65.155,,,65.155,89.728,,2,129.728,,,,DNA,65.155,42.43
54,86,Southern Illinois Univ - Carbondale,67.518,2,,71.518,63.801,1,,65.801,61.489,5,1,91.489,62.526,2,1,86.526,65.801,38.97
55,101,Clemson Univ,66.208,,,66.208,65.807,,,65.807,70.412,,1,90.412,,,,DNA,65.807,38.94
56,85,Rensselaer Polytechnic Inst,65.994,,,65.994,62.894,2,,66.894,69.735,,1,89.735,,,,,65.994,37.96
57,38,National Univ of Singapore,71.381,,2,111.381,70.091,,,70.091,66.061,,,66.061,70.352,,,70.352,66.061,37.6
58,111,Univ of Manitoba,,,,,,,,,63.160,1,1,85.160,64.268,1,,66.268,66.268,36.52
59,46,Michigan Tech Univ,76.829,,1,96.829,66.403,,,66.403,64.874,4,1,92.874,66.299,,,66.299,66.299,36.36
60,99,Florida Atlantic Univ,70.283,,1,90.283,109.042,2,,113.042,68.712,2,,72.712,67.819,,,67.819,67.819,28.61
61,81,Georgia Southern Univ,58.033,1,1,80.033,61.393,2,2,105.393,68.034,,,68.034,64.693,,1,84.693,68.034,27.55
62,87,Kansas State Univ,74.524,1,1,96.524,64.407,2,,68.407,73.168,,1,93.168,72.460,,,72.460,68.407,25.71
63,16,Kettering Univ,72.884,,,72.884,66.638,1,,68.638,,,,DNA,,,,DNA,68.638,24.58
64,53,Queen's Univ - Ontario Canada,67.079,1,,69.079,60.934,,1,80.934,70.867,,,70.867,68.982,,1,88.982,69.079,22.45
