Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21
Universitat Stuttgart,1,62.513,63.537,60.248,59.081,63.016,61.615,74.617,60.227,58.902,59.130,,62.965,59.700,59.030,59.144,58.645,69.872,58.522,59.562,59.442,60.005
Univ of Akron,3,65.176,62.308,61.710,62.929,63.709,68.811,65.406,64.358,61.899,62.559,,65.501,63.025,63.850,61.837,61.499,61.176,60.616,66.683,61.232,63.529
Ecole De Technologie Superieure,4,69.473,66.051,64.947,64.739,74.618,148.255,71.072,81.290,,,,,,,,,,,,,
Université Laval,5,66.319,65.152,63.649,61.921,62.558,66.115,61.467,62.909,62.659,60.230,,65.331,65.905,65.011,62.063,62.704,62.060,62.900,63.380,62.159,62.565
Cornell Univ,6,71.035,70.506,70.933,72.292,,,,,,,,,,,,,,,,,
Centro Universitario Da FEI,8,76.524,68.356,64.360,65.215,70.058,70.196,68.717,64.516,70.531,63.718,,71.988,71.146,69.050,69.339,69.543,69.134,70.763,68.571,68.137,71.672
Michigan State Univ,9,74.924,74.315,80.765,75.642,74.902,72.309,72.491,71.870,70.809,73.344,74.443,,88.648,75.964,73.682,68.138,67.510,65.765,69.423,66.667,69.978
Univ of Florida,10,66.816,63.463,62.688,68.512,64.908,69.997,63.250,63.425,62.691,60.974,,68.650,69.100,64.416,64.644,63.779,63.517,62.847,63.339,62.488,63.168
Instituto Maua de Tecnologia,11,82.655,75.296,74.017,72.364,72.609,79.976,77.755,76.252,74.075,71.863,,86.282,81.890,77.985,77.920,74.813,79.223,76.449,73.421,74.532,78.214
Auburn Univ,12,69.111,67.516,70.527,66.562,65.463,68.020,65.585,65.164,65.838,65.158,,51.073,66.254,64.951,63.290,65.427,63.585,63.588,63.651,63.564,64.140
Missouri University of Science and Tech,13,71.337,69.010,68.116,68.231,70.459,70.982,67.385,70.034,65.323,65.998,,67.480,64.301,64.193,63.187,63.936,66.437,78.006,70.609,73.477,74.293
Karlsruhe Institute of Technology,14,68.177,62.693,61.948,61.950,62.207,61.789,64.994,63.100,62.267,65.841,,,,,,,,,,,
Univ of Kansas - Lawrence,15,64.465,69.415,64.990,62.354,64.902,63.335,62.000,62.413,62.639,68.684,,64.282,61.922,62.960,63.413,64.884,63.003,62.487,62.146,63.463,63.014
Kettering Univ,16,75.845,79.190,80.150,76.471,77.017,75.291,84.937,78.812,81.106,85.007,,,,,,,,,,,
Univ of Illinois - Urbana Champaign,17,65.672,63.935,64.465,68.170,64.564,65.581,63.945,65.565,65.943,69.786,,82.396,75.614,75.053,74.057,75.242,73.806,69.662,87.047,80.737,81.149
Univ of South Florida,20,74.985,73.102,73.806,,,,,,,,,,,,,,,,,,
Technical Univ of Munich,21,65.674,65.443,61.508,61.880,62.093,61.441,60.805,60.440,59.877,60.216,,60.258,58.409,57.575,57.678,57.330,57.179,57.705,57.907,57.535,57.474
California State Poly Univ - Pomona,22,68.395,70.452,71.862,70.183,68.339,69.011,68.604,65.933,66.866,68.203,,68.579,67.651,71.096,68.073,69.425,69.404,69.557,69.495,70.065,73.154
Oregon State Univ,23,61.733,60.067,60.062,59.604,59.652,60.446,59.693,59.377,59.363,60.083,,63.852,60.272,59.008,58.573,57.824,57.270,57.699,57.303,57.881,57.643
Universidad Central de Venezuela,24,98.074,141.889,88.376,96.428,89.008,90.308,87.689,,,,,,,,,,,,,,
Universidad Simon Bolivar,25,76.114,72.156,72.874,78.627,78.765,74.448,72.647,73.402,72.071,71.846,,,,,,,,,,,
US Air Force Academy,27,86.234,83.753,,,,,,,,,,,,,,,,,,,
Georgia Institute of Technology,31,86.581,88.496,85.139,82.214,79.686,79.449,81.805,80.688,79.728,82.114,,82.593,85.766,79.614,76.216,78.666,73.333,78.676,77.561,75.662,75.539
Univ of Minnesota - Twin Cities,32,80.038,73.755,68.916,67.686,67.680,66.665,66.731,67.495,65.998,66.500,,83.328,78.261,80.625,75.130,77.980,77.275,75.225,82.661,78.067,80.362
Carleton Univ,34,81.547,81.511,82.981,82.634,83.594,87.828,81.974,81.576,86.908,82.494,,84.221,87.814,84.444,81.098,79.997,81.987,80.642,81.075,80.340,80.771
Univ of Michigan - Ann Arbor,36,64.893,63.051,62.656,63.074,72.651,65.981,63.941,64.171,63.917,63.266,,64.197,63.136,64.402,78.505,61.841,60.009,60.724,59.375,60.201,59.568
Univ of New Hampshire,37,81.505,79.925,75.854,73.470,72.672,75.769,71.779,75.774,74.612,72.270,,,,,,,,,,,
National Univ of Singapore,38,79.239,91.634,77.650,86.828,76.925,74.547,73.772,73.581,74.345,76.181,,78.459,76.082,78.185,75.180,79.186,80.129,78.461,75.017,74.885,74.265
Univ of Toronto,39,88.723,122.423,117.349,94.505,94.716,106.498,101.035,98.338,94.478,107.248,,,,,,,,,,,
Univ of Pittsburgh - Pittsburgh,41,83.200,74.169,72.748,83.767,66.468,75.153,72.189,70.234,73.519,69.987,,79.388,72.442,68.248,69.938,70.351,71.767,69.089,71.464,70.566,
Villanova Univ,42,92.575,95.689,82.101,93.413,86.348,77.476,78.157,76.991,76.282,77.222,,82.183,80.320,77.503,72.538,,,,,,
San Jose State University,43,73.620,73.796,71.250,66.102,66.599,68.185,68.623,68.128,67.561,70.243,,73.635,66.307,72.054,68.927,71.747,69.119,67.793,70.115,68.505,66.960
Ohio State Univ,44,78.277,70.461,72.537,63.718,70.107,69.216,62.691,67.881,61.830,66.060,,71.048,68.440,66.671,66.437,69.238,67.396,70.791,76.772,,
Oklahoma State Univ,45,73.417,76.192,73.538,79.744,75.206,73.993,75.767,72.600,70.336,78.338,,92.070,87.774,82.538,84.313,100.619,96.784,96.523,92.963,92.860,91.449
