Place,CarNum,Team,AdjustedCost,PriceScore,CostAccuracy,EngineeringDesign,ScenarioScore,Penalty,Score
1,70,Kennesaw State University,"$8,576",39.65,15.05,20,20,,94.7
2,95,Wayne State Univ,"$9,342",35.42,17.94,20,20,,93.36
3,111,Universidad Autonoma Estado Mexico,"$8,943",37.53,17.11,17,20,,91.64
4,45,Tennessee Tech Univ,"$8,518",40,17.53,16,18,,91.53
5,53,Kookmin Univ,"$10,156",31.63,19.59,19,20,,90.22
6,55,Universidad Central de Venezuela,"$9,940",32.57,20,17,20,,89.58
7,85,Villanova Univ,"$9,390",35.18,19.59,16,18,,88.77
8,78,Universite Du Quebec-Chicoutimi,"$9,895",32.77,16.61,19,20,,88.39
9,97,Univ of Guelph,"$10,055",32.07,16.7,18,20,,86.77
10,77,Cegep du Vieux - Montreal,"$10,756",29.2,17.94,19,20,,86.14
11,49,Univ of Toronto,"$10,645",29.63,16.61,19,20,,85.24
12,81,Universidad Simon Bolivar,"$10,405",30.59,19.18,19,15,,83.76
13,73,Saginaw Valley State Univ,"$12,156",24.47,19.18,20,20,,83.65
14,15,Kettering Univ,"$10,597",29.82,16.29,17,20,,83.11
15,33,West Virginia Univ,"$10,381",30.68,15.88,16,20,,82.56
16,57,Texas Tech Univ,"$9,461",34.82,13.4,16,18,,82.22
17,63,Duke Univ,"$12,818",22.59,19.59,20,20,,82.18
18,31,Bradley Univ,"$9,905",32.73,19.18,15,15,,81.91
19,43,Columbia Univ,"$10,768",29.16,19.18,18,15,,81.33
20,11,Universidade Estadual de Campinas,"$12,092",24.66,17.11,19,20,,80.77
21,58,Polytechnique Montréal,"$12,372",23.83,17.94,19,20,,80.77
22,30,Univ of Missouri,"$11,795",25.58,17.94,19,18,,80.52
23,51,Univ of Cincinnati,"$12,201",24.34,15.46,20,20,,79.8
24,32,Rose Hulman Inst of Tech,"$11,431",26.78,13.81,18,20,,78.59
25,17,Univ of Toledo,"$13,088",21.88,17.53,19,20,,78.4
26,96,Penn State Univ - University Park,"$12,861",22.48,19.59,16,20,,78.06
27,26,Georgia Southern Univ,"$12,072",24.72,17.11,16,20,,77.84
28,35,Southern Illinois Univ - Edwardville,"$12,046",24.8,13.81,19,20,,77.61
29,100,Northern Illinois Univ,"$12,832",22.55,15.05,20,20,,77.6
30,24,Brown Univ,"$13,475",20.91,16.29,20,20,,77.2
31,40,Univ of Central Florida,"$12,281",24.1,15.05,18,20,,77.15
32,44,Western Michigan Univ,"$11,304",27.21,13.88,20,16,,77.08
33,8,Univ of Michigan - Ann Arbor,"$14,453",18.69,18.35,20,20,,77.04
34,127,Univ of Manitoba,"$15,099",17.38,19.59,20,20,,76.97
35,122,Indiana Univ Purdue Univ Indianapolis,"$12,031",24.85,12.99,19,20,,76.83
36,76,Universite Du Quebec a Trois-Rivieres,"$13,011",22.08,19.59,20,15,,76.67
37,94,Oklahoma State Univ,"$10,676",29.51,13.96,18,15,,76.47
38,7,Auburn Univ,"$15,444",16.73,19.59,20,20,,76.32
39,50,Missouri University of Science and Tech,"$14,849",17.88,17.94,20,20,,75.81
40,114,Michigan Tech Univ,"$12,477",23.53,14.23,18,20,,75.76
41,59,Univ of Minnesota - Twin Cities,"$12,827",22.57,15.05,18,20,,75.62
42,47,Univ of South Florida,"$13,755",20.24,17.76,19,18,,75.01
43,19,Ecole De Technologie Superieure,"$15,848",16,20,19,20,,75
44,12,Michigan State Univ,"$15,534",16.56,17.94,20,20,,74.5
45,37,Univ of Connecticut,"$12,436",23.65,13.81,17,20,,74.46
46,60,Univ of Illinois - Chicago,"$13,255",21.45,12.99,20,20,,74.44
47,79,St Cloud State Univ,"$10,306",31,13.4,15,15,,74.4
48,38,National Univ of Singapore,"$15,891",15.92,18.35,20,20,,74.27
49,25,Georgia Institute of Technology,"$13,654",20.48,16.7,19,18,,74.18
50,123,Florida Atlantic Univ,"$15,322",16.96,17.11,20,20,,74.07
51,120,Univ of Maryland - College Park,"$14,281",19.06,14.64,20,20,,73.7
52,5,Univ of Akron,"$15,007",17.56,15.61,20,20,,73.18
53,18,San Jose State University,"$13,837",20.05,13.81,19,20,,72.87
54,86,Cooper Union,"$14,294",19.03,19.59,19,15,,72.62
55,129,Univ of Texas - Arlington,"$15,379",16.85,18.35,17,20,,72.2
56,99,York College of Pa,"$14,051",19.57,13.4,19,20,,71.97
57,13,Univ of Wisconsin - Madison,"$15,700",16.26,17.53,20,18,,71.79
58,110,Virginia Tech,"$17,019",14.08,19.59,18,20,,71.67
59,21,Univ of Illinois - Urbana Champaign,"$16,887",14.28,19.18,18,20,,71.46
60,9,Univ of Florida,"$17,599",13.22,20,18,20,,71.22
61,134,Mississippi State Univ,"$14,528",18.53,15.46,20,17,,71
62,27,Louisiana State Univ,"$11,865",25.36,17.53,12,16,,70.89
63,106,South Dakota State Univ,"$12,607",23.17,12.58,20,15,,70.74
64,74,North Dakota State Univ,"$11,630",26.11,12.58,16,16,,70.69
65,61,Rutgers Univ,"$12,190",24.37,12.08,19,15,,70.44
66,22,US Naval Academy,"$14,363",18.88,17.53,15,19,,70.41
67,71,Univ of Pittsburgh - Pittsburgh,"$14,240",19.15,15.05,18,18,,70.2
68,102,Florida Inst of Tech,"$14,749",18.08,15.88,19,17,,69.95
69,125,Purdue Univ - W Lafayette,"$15,633",16.38,14.55,19,20,,69.93
70,41,Old Dominion Univ,"$13,874",19.97,17.53,17,15,,69.49
71,72,Univ of Michigan - Dearborn,"$12,041",24.81,5.56,19,20,,69.38
72,14,Univ of Kansas - Lawrence,"$16,325",15.18,13.81,20,20,,69
73,109,Univ of Oklahoma,"$20,130",10.07,20,18,20,,68.07
74,54,Univ of Evansville,"$12,587",23.22,15.05,19,10,,67.27
75,1,Oregon State Univ,"$17,724",13.05,16.2,20,18,,67.25
76,117,Western University,"$18,996",11.38,18.76,17,20,,67.14
77,65,Minnesota State University - Mankato,"$15,200",17.19,17.94,14,18,,67.13
78,67,Queen's Univ - Ontario Canada,"$15,256",17.08,13.81,20,16,,66.89
79,56,Central Michigan Univ,"$12,507",23.45,11.34,12,20,,66.79
80,88,Dalhousie Univ,"$14,996",17.58,15.05,19,15,,66.63
81,69,Univ of Waterloo,"$15,205",17.18,17.44,20,12,,66.62
82,82,Clemson Univ,"$14,164",19.31,16.11,18,13,,66.43
83,115,Rochester Institute of Technology,"$18,490",12.01,14.14,20,20,,66.15
84,101,Wroclaw University of Technology,"$16,060",15.63,14.46,16,20,,66.09
85,126,Cornell Univ,"$22,762",7.53,19.18,19,20,,65.7
86,64,Univ of Alabama - Tuscaloosa,"$14,106",19.44,13.81,16,16,,65.26
87,46,McGill Univ,"$19,969",10.24,20,15,20,,65.24
88,68,Lakehead Univ,"$17,202",13.8,12.99,18,20,,64.79
89,36,Univ of North Florida,"$19,982",10.23,17.44,19,18,,64.67
90,103,Northwestern Univ,"$16,242",15.32,11.75,17,20,,64.07
91,42,Florida International Univ,"$13,508",20.83,11.75,19,12,,63.58
92,29,Lehigh Univ,"$12,248",24.2,6.36,17,16,,63.56
93,107,Univ of Utah,"$17,441",13.45,14.14,15,20,,62.59
94,16,Graz Technical Univ,"$18,442",12.08,15.46,15,20,,62.54
95,48,Washington Univ - St Louis,"$17,359",13.57,10.34,20,18,,61.91
96,66,North Carolina State Univ - Raleigh,"$18,583",11.89,19.18,18,12,,61.07
97,121,Lawrence Technological Univ,"$14,680",18.22,13.4,19,10,,60.62
98,119,Univ of Victoria,"$18,768",11.66,18.35,18,12,,60.01
99,62,Ohio State Univ,"$19,858",10.37,11.16,18,20,,59.53
100,83,Oakland University,"$16,389",15.08,10.93,20,20,-10,56
101,113,Temple Univ,"$15,226",17.14,12.16,19,16,-10,54.3
102,104,Washington State Univ,"$16,789",14.44,14.14,10,12,,50.57
103,90,Univ of North Carolina - Charlotte,"$34,404",0.96,13.81,15,20,,49.77
104,20,Worcester Polytechnic Inst,"$37,172",,11.34,18,20,,49.34
105,93,Univ of St Thomas,"$13,504",20.84,12.99,16,15,-20,44.83
106,23,Ferris State University,"$11,685",25.93,13.4,18,17,-30,44.33
107,52,Colorado Mesa University,"$19,591",10.67,11.73,4,10,,36.4
108,116,Universidad Metropolitana,"$11,729",25.79,19.18,18,15,-80,-2.03
109,87,Stevens Inst of Tech,"$13,617",20.57,8.86,20,16,-80,-14.57
110,84,Grand Valley State Univ,"$13,776",20.19,4.56,6,,-80,-49.24
,34,Lafayette College,,,,,,,
,39,Univ of Kentucky,,,,,,,
,80,Kansas State Univ,,,,,,,
,91,Univ of New Hampshire,,,,,,,
,92,Clarkson University,,,,,,,
,98,Embry-Riddle Aero Univ - Daytona Beach,,,,,,,
,105,Univ of Hartford,,,,,,,
,112,Hope College,,,,,,,
