Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22
Oregon State Univ,1,84.810,81.090,81.123,78.724,77.225,78.619,74.465,78.255,75.019,74.371,,74.697,78.557,75.223,72.701,71.951,70.450,71.106,70.958,70.343,69.674,
Univ of Florida,2,85.555,84.911,85.161,84.131,83.203,81.187,83.248,83.020,78.553,80.907,78.486,,75.097,75.317,74.401,81.019,77.398,71.181,73.963,73.802,72.411,
Graz Technical Univ,3,84.582,78.264,72.555,71.700,71.208,73.852,71.045,72.771,69.972,70.790,,69.889,68.995,68.697,67.425,67.582,67.126,66.773,66.714,66.889,67.427,
Kookmin Univ,4,86.118,87.214,84.708,83.467,81.084,84.139,79.831,82.407,80.962,80.309,,81.618,81.405,78.932,77.973,79.675,78.676,78.266,78.941,78.451,79.041,
Univ of Michigan - Ann Arbor,5,79.574,73.073,80.046,73.853,72.026,76.057,73.706,70.664,73.407,71.160,,82.459,77.077,74.966,73.157,77.491,78.651,78.783,76.144,80.091,180.942,
Virginia Tech,6,89.097,83.232,,,,,,,,,,,,,,,,,,,,
National Univ of Singapore,7,86.015,83.325,82.267,83.193,82.084,80.984,81.310,81.997,82.452,80.739,,82.477,82.515,81.821,80.492,80.461,79.976,82.125,82.286,83.201,84.736,
Univ of Michigan - Dearborn,8,85.356,83.058,81.683,79.721,78.340,79.442,84.597,,78.310,74.953,78.843,,73.647,77.496,72.632,71.163,70.617,73.977,74.787,73.286,70.810,79.031
Polytechnique Montréal,11,82.056,79.769,79.554,78.442,78.119,78.060,76.906,83.727,76.524,78.349,,83.750,80.850,74.061,75.246,73.991,73.184,73.035,71.212,190.638,79.260,
FH - Joanneum Graz,12,78.114,75.777,73.905,73.151,74.489,79.281,71.870,72.070,79.928,75.320,,73.400,76.508,73.953,74.591,71.750,70.406,70.322,69.765,70.289,70.746,
