Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23
Universitat Stuttgart,1,60.385,57.901,57.183,56.749,56.302,57.042,56.665,59.093,56.635,56.812,56.881,,56.961,53.693,54.093,52.794,55.685,56.177,53.388,53.069,52.822,53.137,53.061
Graz Technical Univ,2,60.468,57.793,56.530,56.253,55.577,55.767,54.831,54.815,55.042,54.205,55.021,,56.725,57.331,55.835,57.290,55.374,54.906,54.935,55.197,54.044,54.395,54.383
U A S Graz,3,59.249,56.683,56.699,56.047,56.150,55.636,54.952,55.422,54.869,55.313,55.935,,57.869,56.153,56.482,55.917,55.234,54.836,59.231,56.179,55.474,55.591,54.699
Oregon State Univ,4,63.987,60.860,58.652,57.548,56.387,56.555,56.276,56.192,56.830,59.479,57.689,57.347,,61.759,59.115,57.655,56.259,57.068,56.526,56.242,56.643,55.663,55.878
Michigan State Univ,5,60.591,59.544,59.346,65.439,62.229,,,,,,,,,,,,,,,,,,
Univ of Wisconsin - Madison,6,66.724,65.422,61.984,60.345,61.074,60.424,61.486,68.587,61.407,61.040,65.464,,62.859,60.489,59.994,60.557,60.960,61.570,65.597,59.928,60.144,62.019,61.557
Missouri University of Science and Tech,7,66.328,61.929,60.902,60.302,60.529,70.628,64.013,65.534,63.612,62.990,67.871,,60.251,60.559,61.555,61.307,60.782,59.884,61.267,69.177,,,
Univ of Florida,9,66.372,63.262,62.016,61.572,60.976,,,,,,,,,,,,,,,,,,
Universidade de Sao Paulo,11,67.258,65.885,67.370,66.690,66.543,67.426,69.017,68.311,70.654,71.687,70.986,,68.770,68.395,67.872,68.938,68.909,69.182,68.563,67.826,70.362,67.134,67.845
Technical Univ of Munich,13,62.602,59.335,58.676,58.745,57.095,57.204,57.167,56.413,55.758,55.877,56.208,,58.495,55.900,55.066,54.776,69.186,68.493,69.355,75.038,,,
Florida Atlantic Univ,14,66.579,65.085,67.683,64.064,63.531,65.292,64.179,64.668,66.797,65.433,68.147,,65.306,63.456,63.149,63.079,62.538,64.213,65.169,63.192,63.071,62.201,63.286
Univ of Alabama - Tuscaloosa,15,70.905,67.485,67.316,65.032,66.698,71.566,66.107,68.512,66.817,86.584,69.127,69.052,,66.573,71.197,67.328,64.543,65.727,64.366,65.962,65.694,67.627,66.085
San Jose State University,16,69.353,65.128,68.413,61.719,65.002,59.500,59.194,59.686,64.322,60.744,66.745,,61.708,59.240,57.134,58.277,59.309,57.736,58.878,58.345,63.286,62.182,64.042
Mississippi State Univ,19,85.633,85.046,90.868,88.490,86.232,91.666,86.889,87.902,83.973,81.554,81.659,,76.195,87.820,86.061,83.984,88.645,101.939,91.626,111.272,89.113,108.399,100.955
Minnesota State University - Mankato,20,67.020,,,,,,,,,,,,,,,,,,,,,,
Brown Univ,21,80.008,81.716,74.909,75.522,76.364,74.770,78.880,72.434,76.009,77.669,78.212,,76.419,81.402,77.573,78.144,76.245,78.342,75.516,78.178,79.127,79.661,80.692
Villanova Univ,22,66.401,69.203,66.508,66.384,65.878,66.194,66.004,64.972,64.104,65.197,65.762,,70.714,66.552,68.606,70.440,67.831,68.437,66.605,69.413,65.580,65.857,65.788
Univ of Missouri,23,67.312,71.732,69.721,69.125,68.928,66.082,66.629,66.601,68.054,67.206,67.303,,69.961,69.126,67.586,104.323,109.025,101.393,96.244,93.992,91.633,92.860,100.861
Purdue Univ - Northwest,24,95.248,116.583,115.681,118.496,119.618,112.627,108.575,111.443,108.226,106.883,100.873,,80.613,76.295,77.658,90.683,150.985,91.476,101.055,83.250,107.129,132.070,147.861
Michigan Tech Univ,25,73.114,70.331,69.172,70.462,67.491,67.312,67.256,66.534,66.360,86.562,101.060,,78.467,75.048,75.058,75.790,78.977,78.570,91.040,91.685,89.606,100.383,89.338
South Dakota School of Mines & Tech,27,69.332,68.846,67.698,68.598,69.627,69.306,68.431,67.866,68.453,71.937,68.686,,,,,,,,,,,,
Washington Univ - St Louis,29,81.822,76.745,76.761,77.080,76.488,73.627,78.513,80.153,82.526,103.410,100.477,,87.119,88.040,88.677,95.947,93.163,94.802,92.182,98.182,102.041,103.434,120.190
Lehigh Univ,30,89.766,83.469,80.359,80.332,76.628,78.920,82.430,85.038,79.137,81.811,80.139,,,,,,,,,,,,
