Place,CarNum,Team,AvgLapAdjTime,CompletedLaps,FuelUsed_L,CO2_kg,CO2PerLap,FuelType,FuelEfficiency,Score
1,18,Ecole De Technologie Superieure,121.831,13,3.288,5.425,0.4173,E85,0.880,100
2,3,Graz Technical Univ,112.595,13,3.847,6.347,0.4882,E85,0.814,96.1
3,84,Worcester Polytechnic Inst,134.451,8,1.466,3.386,0.4233,100,0.786,94.3
4,73,Univ of Akron,123.039,13,3.765,6.212,0.4778,E85,0.761,92.5
5,104,Saginaw Valley State Univ,129.289,13,2.948,6.809,0.5238,100,0.661,84.2
6,64,Polytechnique Montréal,133.014,13,2.933,6.775,0.5212,100,0.646,82.7
7,102,Technical Univ of Munich,121.369,13,4.560,7.524,0.5788,E85,0.637,81.8
8,1,Universitat Stuttgart,113.153,13,4.932,8.137,0.6259,E85,0.632,81.3
9,98,Purdue Univ - W Lafayette,123.279,13,3.499,8.082,0.6217,93,0.584,75.8
10,49,Carleton Univ,119.970,13,3.665,8.466,0.6512,93,0.573,74.4
11,9,Rochester Institute of Technology,134.302,13,3.306,7.636,0.5874,100,0.567,73.7
12,121,The Ohio State University,123.194,13,5.145,8.489,0.6530,E85,0.556,72.3
13,10,Univ of Wisconsin - Madison,131.052,13,4.849,8.000,0.6154,E85,0.555,72.1
14,59,Kookmin Univ,132.705,13,3.473,8.022,0.6171,100,0.546,70.9
15,31,Auburn Univ,143.514,13,4.565,7.532,0.5794,E85,0.538,69.7
16,75,Universidad Politecnica de Valencia,107.238,13,4.438,10.251,0.7885,93,0.529,68.4
17,122,Univ of Waterloo,136.771,13,3.502,8.089,0.6222,93,0.526,67.9
18,76,Universite de Sherbrooke,147.639,13,3.265,7.542,0.5802,93,0.522,67.4
19,57,Florida International Univ,143.376,13,3.376,7.798,0.5998,93,0.520,67.1
20,80,National Univ of Singapore,149.557,13,3.354,7.747,0.5959,93,0.502,64.1
21,6,San Jose State University,124.070,10,4.383,7.231,0.7231,E85,0.499,63.6
22,136,Faculdade de Engenharia de Sorocaba,126.663,13,3.988,9.212,0.7086,100,0.499,63.5
23,82,Minnesota State University - Mankato,141.643,13,3.576,8.260,0.6354,100,0.497,63.3
24,99,Villanova Univ,134.700,13,3.802,8.782,0.6755,100,0.492,62.4
25,69,Univ of Saskatchewan,142.966,13,3.662,8.459,0.6507,93,0.481,60.5
26,7,Univ of Minnesota - Twin Cities,127.542,6,1.960,4.527,0.7545,93,0.465,57.5
27,66,Florida Atlantic Univ,137.623,13,3.988,9.212,0.7086,100,0.459,56.3
28,109,AGH Univ of Science and Technology,122.291,13,4.886,11.286,0.8061,100,0.454,55.3
29,67,Univ of Connecticut,126.688,13,4.415,10.198,0.7845,93,0.450,54.5
30,42,Brown Univ,131.944,13,4.254,9.826,0.7558,100,0.449,54.2
31,8,Cornell Univ,134.223,13,5.860,9.669,0.7438,E85,0.448,54.1
32,72,Wayne State Univ,150.847,13,3.736,8.630,0.6638,100,0.447,53.8
33,70,St Cloud State Univ,153.550,6,1.705,3.938,0.6563,93,0.444,53.2
34,34,Univ of Missouri,131.016,13,4.339,10.023,0.7710,93,0.443,53.0
35,114,Bialystok University of Technology,125.164,10,3.547,8.193,0.8193,100,0.436,51.6
36,36,Louisiana State Univ,125.594,9,3.192,7.373,0.8192,93,0.435,51.2
37,5,Univ of Michigan - Ann Arbor,119.744,13,6.825,11.261,0.8662,E85,0.431,50.5
38,39,Univ of Toledo,145.207,12,3.847,8.886,0.7405,93,0.416,46.9
39,117,Penn State Univ - Harrisburg,137.175,13,4.522,10.445,0.8035,93,0.406,44.4
40,16,Michigan State Univ,123.278,7,2.770,6.398,0.9140,93,0.397,42.1
41,21,Rensselaer Polytechnic Inst,138.112,13,4.649,10.739,0.8261,93,0.392,40.7
42,46,Universidad Simon Bolivar,146.887,13,4.379,10.115,0.7781,93,0.392,40.6
43,30,Michigan Tech Univ,146.942,13,4.405,10.175,0.7827,93,0.389,39.9
44,101,Central Michigan Univ,152.376,7,2.363,5.458,0.7797,93,0.377,36.3
45,111,Duke Univ,153.537,13,4.373,10.101,0.7770,93,0.375,35.9
46,32,Grand Valley State Univ,146.927,13,4.776,11.032,0.8486,93,0.359,30.8
47,51,Concordia University,146.554,13,4.870,11.249,0.8653,93,0.353,28.8
48,77,Univ of Michigan - Dearborn,133.919,7,4.052,6.685,0.9550,E85,0.350,27.8
49,119,Univ of Manitoba,153.536,10,5.210,8.596,0.8596,E85,0.339,24.0
50,41,Penn State Univ - University Park,147.787,13,5.065,11.700,0.9000,93,0.336,23.0
51,11,Colorado Mesa University,147.758,12,5.111,11.806,0.9838,93,0.308,11.4
,29,York College of Pennsylvania,160.288,13,2.052,4.740,0.3646,93,,0
,24,Tennessee Tech Univ,180.531,13,2.091,4.830,0.3715,100,,0
,92,Univ of Cincinnati,156.213,13,2.141,4.945,0.3804,93,,0
,88,Cegep du Vieux - Montreal,162.216,13,2.450,5.659,0.4353,93,,0
,25,Lehigh Univ,156.740,13,2.828,6.532,0.5025,93,,0
,79,Univ of North Carolina - Charlotte,157.943,13,2.911,6.724,0.5603,100,,0
,53,Georgia Southern Univ,158.494,13,3.253,7.514,0.5780,93,,0
,15,Univ of Evansville,209.423,7,1.944,4.490,0.6414,93,,0
,40,Washington Univ - St Louis,162.724,13,4.013,9.270,0.7131,93,,0
,37,Univ of Illinois - Urbana Champaign,160.905,13,4.433,10.240,0.7877,93,,0
,85,Texas Tech Univ,164.067,13,4.665,10.776,0.8289,93,,0
,105,Oakland University,159.922,13,4.670,10.787,0.8298,93,,0
,86,California State Poly Univ - Pomona,155.831,6,2.166,5.003,0.8338,93,,0
,54,Univ of Guelph,157.734,7,2.690,6.213,0.8876,93,,0
,91,Univ of North Florida,192.779,13,5.426,12.534,0.9642,100,,0
,135,Univ of South Florida,179.934,7,3.109,7.181,1.0259,93,,0
,45,Univ of Maryland - College Park,164.563,7,3.122,7.211,1.0301,93,,0
,62,North Carolina State Univ - Raleigh,166.589,13,5.938,13.716,1.0551,93,,0
,112,Western Michigan Univ,145.915,13,6.392,14.765,1.1358,93,,0
,78,Embry-Riddle Aero Univ - Daytona Beach,173.843,13,6.552,15.135,1.1642,93,,0
