Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14
Universitat Stuttgart,1,122.301,106.551,104.352,104.409,104.832,103.699,,102.180,100.948,99.288,99.398,98.500,101.279,99.247
Graz Technical Univ,3,108.479,102.239,101.206,110.031,101.187,101.119,,104.562,101.669,101.409,100.719,101.361,99.502,100.247
Univ of Michigan - Ann Arbor,5,131.253,127.048,123.128,119.293,119.904,125.879,,116.989,116.807,112.231,119.356,113.084,112.174,111.525
San Jose State University,6,129.895,132.398,130.375,116.185,123.059,121.227,,120.298,122.658,118.414,116.191,,,
Univ of Minnesota - Twin Cities,7,128.139,121.662,118.616,139.067,116.436,119.332,,,,,,,,
Cornell Univ,8,127.409,120.296,119.817,120.822,118.476,125.549,,144.640,141.615,131.938,136.138,149.228,140.269,138.703
Rochester Institute of Technology,9,122.328,122.702,121.342,116.256,115.281,114.219,,127.904,119.689,114.027,119.038,149.834,123.930,121.374
Univ of Wisconsin - Madison,10,135.125,118.029,115.209,120.031,122.000,148.000,,134.932,121.297,180.740,117.030,116.918,114.945,123.422
Colorado Mesa University,11,137.635,131.957,130.909,135.105,143.116,133.547,,149.693,146.852,151.197,158.327,168.543,166.213,
Univ of Evansville,15,164.346,143.989,173.680,161.809,204.623,146.424,,183.090,,,,,,
Michigan State Univ,16,122.707,117.917,115.639,125.188,118.369,115.488,,127.640,,,,,,
Ecole De Technologie Superieure,18,115.913,112.122,127.776,114.153,110.711,109.851,,126.995,116.854,124.760,129.531,134.998,119.261,116.875
Ryerson Univ,20,166.908,,,,,,,,,,,,,
Rensselaer Polytechnic Inst,21,128.087,120.456,124.339,169.200,185.038,131.307,131.898,127.795,,129.275,133.951,117.197,120.832,120.086
Rose Hulman Inst of Tech,22,176.859,,,,,,,,,,,,,
Tennessee Tech Univ,24,175.753,173.554,174.077,169.576,175.104,226.520,,181.808,174.155,170.436,189.108,181.052,168.959,172.801
Lehigh Univ,25,158.884,149.033,151.236,145.284,142.174,138.401,,155.350,165.745,204.071,155.752,152.150,157.144,158.391
Univ of Toronto,26,155.258,,,,,,,,,,,,,
Univ of Florida,27,132.762,128.533,,,,,,,,,,,,
York College of Pennsylvania,29,147.719,143.043,166.573,164.993,144.874,149.774,,176.652,153.285,153.179,147.438,153.442,165.877,150.901
Michigan Tech Univ,30,142.843,135.443,124.813,129.697,125.913,168.367,,131.311,135.514,128.428,143.436,132.602,147.569,136.310
Auburn Univ,31,126.336,132.488,144.574,141.314,132.774,122.018,123.507,,111.589,111.275,115.546,123.432,130.394,118.429
Grand Valley State Univ,32,143.188,149.962,141.382,137.766,136.157,133.619,,158.011,159.893,149.209,142.572,161.343,142.532,148.415
Univ of Missouri,34,128.026,123.785,124.440,118.635,123.884,126.632,,126.102,123.906,124.275,171.003,130.551,122.796,125.172
Louisiana State Univ,36,131.982,127.728,122.544,120.296,121.523,129.901,,121.007,120.504,114.864,,,,
Univ of Illinois - Urbana Champaign,37,145.701,146.660,158.531,140.791,190.740,140.734,,156.100,145.602,145.746,142.215,147.677,159.816,147.453
Univ of Toledo,39,128.200,130.376,133.088,123.402,139.996,126.544,,139.432,128.814,123.725,127.418,130.034,129.460,
Washington Univ - St Louis,40,165.028,152.337,144.607,143.630,141.001,155.978,,152.056,131.692,134.050,135.478,169.002,129.783,138.773
Penn State Univ - University Park,41,145.917,140.537,132.120,135.970,131.922,148.088,,144.361,171.086,133.423,123.971,123.110,121.484,151.238
Brown Univ,42,135.744,130.979,135.402,126.642,125.865,139.839,,129.464,126.786,130.377,124.641,141.180,128.268,140.086
Univ of Maryland - College Park,45,158.694,162.620,146.696,143.583,147.060,135.875,,141.416,,,,,,
Universidad Simon Bolivar,46,145.780,148.039,142.243,151.971,147.199,137.439,,169.515,137.105,140.285,141.085,136.798,145.579,140.487
Lawrence Technological Univ,47,139.273,135.601,,,,,,,,,,,,
Georgia Institute of Technology,48,129.876,130.792,121.536,126.857,124.605,122.377,,,,,,,,
Carleton Univ,49,115.499,113.286,112.865,115.907,110.723,110.704,,118.704,115.025,155.233,113.672,132.019,112.437,113.538
Clarkson University,50,141.415,177.320,149.224,149.551,152.318,,,,,,,,,
Concordia University,51,161.720,144.604,140.732,142.603,139.965,149.909,147.225,,133.852,131.843,145.397,139.383,131.993,135.970
Virginia Tech,52,148.071,140.803,,,,,,,,,,,,
Georgia Southern Univ,53,147.038,140.662,148.429,162.080,170.837,183.668,,142.782,199.217,140.692,137.851,135.974,130.803,132.384
Univ of Guelph,54,150.831,155.007,152.977,144.497,153.562,148.126,,149.138,,,,,,
Western University,55,137.279,131.207,137.263,160.690,,,,,,,,,,
Florida International Univ,57,159.107,142.547,143.116,141.507,139.765,146.140,,154.970,142.743,142.092,138.645,133.104,132.853,133.297
Univ of British Columbia,58,124.538,,,,,,,,,,,,,
Kookmin Univ,59,150.036,131.479,134.945,123.581,133.012,128.502,,128.012,132.961,138.686,124.769,121.987,123.881,123.314
US Naval Academy,60,169.122,,,,,,,,,,,,,
