Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
1,1,Universitat Stuttgart,,63.8,74.3,145,73.0,45.7,125.0,232.9,81.3,840.9
2,3,Graz Technical Univ,,60.8,71.4,132,58.6,57.0,99.9,236.7,96.1,812.5
3,75,Universidad Politecnica de Valencia,,59.6,62.7,110,70.5,56.3,87.9,275.0,68.4,790.3
4,102,Technical Univ of Munich,,61.9,54.3,150,57.6,45.3,74.7,181.2,81.8,706.9
5,18,Ecole De Technologie Superieure,,66.5,57.0,100,82.5,37.8,66.2,178.5,100.0,688.5
6,73,Univ of Akron,,67.6,70.8,100,57.0,37.8,55.9,171.6,92.5,653.3
7,49,Carleton Univ,,69.5,54.4,80,63.3,51.3,70.2,189.5,74.4,652.6
8,10,Univ of Wisconsin - Madison,,70.3,64.8,128,67.3,34.1,63.0,128.6,72.1,628.2
9,5,Univ of Michigan - Ann Arbor,,64.7,31.4,80,58.9,51.6,73.7,190.9,50.5,601.6
10,109,AGH Univ of Science and Technology,,54.2,74.3,60,75.2,51.3,51.1,175.8,55.3,597.3
11,64,Polytechnique Montréal,,68.4,43.1,80,81.6,56.1,57.2,118.9,82.7,588.0
12,8,Cornell Univ,,61.7,66.8,100,79.9,50.0,61.2,113.0,54.1,586.7
13,67,Univ of Connecticut,,65.6,63.2,60,98.6,41.6,43.5,151.3,54.5,578.2
14,98,Purdue Univ - W Lafayette,,55.7,48.0,60,51.6,39.7,76.6,170.2,75.8,577.5
15,80,National Univ of Singapore,,67.5,73.0,125,96.0,39.7,54.8,47,64.1,567.2
16,9,Rochester Institute of Technology,,53.8,59.3,115,71.2,32.4,47.4,112.7,73.7,565.5
17,99,Villanova Univ,,72.8,65.5,80,94.2,39.8,25.1,110.8,62.4,550.5
18,31,Auburn Univ,,62.5,59.3,100,46.9,41.6,91.1,71.4,69.7,542.4
19,136,Faculdade de Engenharia de Sorocaba,,60.8,37.5,60,64.9,27.4,65.1,151.5,63.5,530.8
20,59,Kookmin Univ,,68.1,34.4,80,99.0,22.9,29.0,120.4,70.9,524.7
21,104,Saginaw Valley State Univ,,66.1,37.8,60,66.1,32.2,32.4,137.6,84.2,516.3
22,122,Univ of Waterloo,,65.6,38.3,80,81.4,34.1,40.9,101.1,67.9,509.3
23,21,Rensselaer Polytechnic Inst,,64.7,65.5,80,69.1,33.9,52.2,94.9,40.7,501.1
24,2,Oregon State Univ,,57.4,65.1,108,94.5,75.0,83.5,,,483.5
25,69,Univ of Saskatchewan,,67.1,59.9,80,53.6,37.8,38.2,73.7,60.5,470.8
26,42,Brown Univ,,64.3,56.0,60,86.8,13.4,6.5,124.2,54.2,465.3
27,7,Univ of Minnesota - Twin Cities,,63.8,66.5,80,62.1,50.5,71.2,6,57.5,457.7
28,36,Louisiana State Univ,,61.2,72.2,80,97.6,27.5,57.7,9,51.2,456.4
29,117,Penn State Univ - Harrisburg,,62.5,65.1,50,76.2,30.7,25.4,99.2,44.4,453.5
30,129,Missouri University of Science and Tech,,65.9,69.0,80,99.7,47.8,80.8,4,,447.2
31,16,Michigan State Univ,,69.1,39.2,80,75.5,39.0,90.0,7,42.1,441.9
32,34,Univ of Missouri,,66.4,55.2,80,87.5,45.7,40.7,13,53.0,441.5
33,114,Bialystok University of Technology,,56.9,63.4,80,71.5,39.7,61.9,10,51.6,435.0
34,41,Penn State Univ - University Park,,69.2,51.9,60,80.0,40.1,56.8,54.0,23.0,435.0
35,30,Michigan Tech Univ,,71.0,65.1,60,74.2,34.2,26.1,57.3,39.9,427.8
36,121,The Ohio State University,,54.0,71.1,80,72.8,12.3,36.2,13,72.3,411.7
37,72,Wayne State Univ,,74.8,44.8,50,87.5,29.0,27.9,42,53.8,410.0
38,58,Univ of British Columbia,,59.0,63.1,80,91.9,43.6,69.8,1,,408.4
39,86,California State Poly Univ - Pomona,,69.4,65.6,70,100.0,41.3,55.1,6,,407.3
40,82,Minnesota State University - Mankato,,56.9,62.2,60,40.8,4.6,31.1,79.3,63.3,398.1
41,84,Worcester Polytechnic Inst,,61.2,42.0,60,47.0,42.1,32.8,8,94.3,387.5
42,46,Universidad Simon Bolivar,,73.7,15.5,80,62.2,17.4,29.8,57.6,40.6,376.5
43,76,Universite de Sherbrooke,,65.1,52.3,70,52.4,3.5,9.0,54.6,67.4,374.3
44,57,Florida International Univ,,65.2,36.3,60,31.1,14.8,27.2,72.0,67.1,373.6
45,107,Rutgers Univ,,64.0,58.3,80,65.4,41.7,50.0,7,,366.3
46,6,San Jose State University,,63.3,41.2,100,59.1,20.0,6.5,10,63.6,363.7
47,71,Univ of Alabama - Tuscaloosa,,65.0,69.0,60,76.0,34.1,53.6,2,,359.7
48,115,Univ of Victoria,,69.4,41.2,96,72.6,23.9,39.1,6,,348.1
49,60,US Naval Academy,,56.7,71.0,80,74.6,35.9,26.0,1,,345.2
50,37,Univ of Illinois - Urbana Champaign,,63.6,74.3,100,60.8,12.3,6.5,25,,342.5
51,48,Georgia Institute of Technology,,59.0,62.6,80,60.9,29.1,41.8,6,,339.4
52,39,Univ of Toledo,,61.7,40.9,60,28.9,47.9,40.7,12,46.9,339.0
53,38,Univ of Central Florida,-10,71.0,44.9,105,47.8,18.6,55.1,,,332.4
54,55,Western University,,58.0,75.0,80,47.0,25.8,42.0,4,,331.9
55,111,Duke Univ,,64.0,58.9,80,5.5,27.5,25.8,32,35.9,329.6
56,66,Florida Atlantic Univ,,-18.6,47.9,60,41.2,21.2,22.6,97.1,56.3,327.8
57,135,Univ of South Florida,,63.9,57.7,60,63.4,25.4,39.5,7,,316.8
58,53,Georgia Southern Univ,-10,67.0,42.3,60,88.0,22.9,20.7,25,,315.7
59,101,Central Michigan Univ,-10,73.5,59.6,50,46.7,35.2,14.0,7,36.3,312.3
60,52,Virginia Tech,,62.4,61.4,60,52.3,32.4,37.2,2,,307.6
61,40,Washington Univ - St Louis,,67.7,51.2,60,51.8,25.8,23.5,25,,304.9
62,78,Embry-Riddle Aero Univ - Daytona Beach,,61.3,40.5,60,78.6,20.0,18.6,25,,303.9
63,54,Univ of Guelph,,60.2,49.3,50,82.7,32.6,22.0,7,,303.7
64,92,Univ of Cincinnati,,61.7,47.1,40,58.9,26.6,43.4,25,,302.7
65,79,Univ of North Carolina - Charlotte,,59.4,46.2,50,59.7,24.3,32.6,25,,297.2
66,88,Cegep du Vieux - Montreal,,69.2,26.3,60,76.9,21.5,18.0,25,,296.8
67,91,Univ of North Florida,,57.0,66.9,50,56.1,24.4,14.9,25,,294.3
68,47,Lawrence Technological Univ,,53.1,55.0,60,49.2,11.1,63.8,2,,294.2
