Place,CarNum,Team,Time,Laps,Cones,OffCourse,OtherPenalty,AdjTime,EnduranceScore
1,2,Graz Technical Univ,1247.742,11,,1,,1267.742,275
2,1,Universitat Stuttgart,1263.453,11,1,1,,1285.453,263.9
3,9,Univ of Michigan - Ann Arbor,1327.128,11,1,,,1329.128,237.8
4,6,Univ of Akron,1372.607,11,2,,,1376.607,211.3
5,7,Carleton Univ,1357.614,11,1,1,,1379.614,209.7
6,14,Polytechnique Montréal,1404.164,11,2,,,1408.164,194.7
7,29,Univ of Cincinnati,1430.547,11,1,1,,1452.547,172.5
8,69,Univ of Connecticut,1456.517,11,1,,,1458.517,169.6
9,18,Univ of Alabama - Tuscaloosa,1439.376,11,2,1,,1463.376,167.3
10,73,Louisiana State Univ,1412.405,11,7,2,,1466.405,165.9
11,33,Oregon State Univ,1332.286,11,1,1,120,1474.286,162.1
12,80,Virginia Tech,1455.939,11,1,1,,1477.939,160.4
13,40,Clemson Univ,1487.215,11,,,,1487.215,156.1
14,5,Ecole De Technologie Superieure,1389.504,11,,5,,1489.504,155.1
15,123,Villanova Univ,1457.059,11,8,1,,1493.059,153.4
16,94,Saginaw Valley State Univ,1505.097,11,1,,,1507.097,147.1
17,10,AGH Univ of Science and Technology,1487.249,11,,1,,1507.249,147.0
18,62,Univ of Minnesota - Twin Cities,1511.708,11,,,,1511.708,145.0
19,37,Univ of Illinois - Urbana Champaign,1533.958,11,,,,1533.958,135.2
20,21,Univ of Florida,1495.872,11,,2,,1535.872,134.4
21,34,Univ of Central Florida,1512.511,11,2,1,,1536.511,134.1
22,46,San Jose State University,1479.127,11,6,3,,1551.127,127.8
23,36,Missouri University of Science and Tech,1483.272,11,6,4,,1575.272,117.7
24,85,Wroclaw University of Technology,1490.268,11,5,4,,1580.268,115.7
25,66,Univ of Waterloo,1565.788,11,1,1,,1587.788,112.6
26,107,Univ of South Florida,1542.589,11,1,3,,1604.589,105.9
27,105,Worcester Polytechnic Inst,1581.681,11,13,,,1607.681,104.7
28,43,Minnesota State University - Mankato,1562.546,11,4,2,,1610.546,103.5
29,88,The Ohio State University,1590.325,11,1,1,,1612.325,102.8
30,47,Ryerson Univ,1573.724,11,,2,,1613.724,102.3
31,76,Hope College,1619.323,11,1,,,1621.323,99.3
32,12,Purdue Univ - W Lafayette,1564.004,11,1,3,,1626.004,97.5
33,38,Brown Univ,1586.377,11,2,2,,1630.377,95.8
34,56,National Univ of Singapore,1520.882,11,5,5,,1630.882,95.6
35,91,Georgia Institute of Technology,1504.140,11,4,6,,1632.140,95.1
36,71,Univ of Puerto Rico-Mayaquez,1656.608,11,,,,1656.608,85.9
37,50,Univ of Michigan - Dearborn,1513.703,11,4,7,,1661.703,84.0
38,35,Kansas State Univ,1683.479,11,2,,,1687.479,74.6
39,52,Western Michigan Univ,1691.678,11,1,1,,1713.678,65.4
40,113,Dalhousie Univ,1682.404,11,4,2,,1730.404,59.6
41,124,Univ of Nebraska - Lincoln,1690.652,11,,2,,1730.652,59.5
42,39,Univ of Missouri,1553.130,11,2,9,,1737.130,57.3
43,63,Washington Univ - St Louis,1760.750,11,3,1,,1786.750,41
44,100,Clarkson University,1719.810,11,2,5,,1823.810,29
45,102,Lawrence Technological Univ,1782.151,11,5,2,,1832.151,27
46,67,Univ of Guelph,1839.754,11,,,,1839.754,25
47,54,Michigan Tech Univ,1815.400,11,5,1,,1845.400,25
48,108,Colorado Mesa University,1852.952,11,1,,,1854.952,25
49,89,Tennessee Tech Univ,1740.508,11,2,,120,1864.508,25
50,16,Kookmin Univ,1479.431,11,3,14,120,1885.431,25
51,20,Florida Inst of Tech,1742.057,11,5,8,,1912.057,25
52,93,Universite Du Quebec a Trois-Rivieres,1850.878,11,6,6,,1982.878,25
53,75,Old Dominion Univ,1930.435,11,3,5,,2036.435,25
54,51,Universidad Simon Bolivar,1808.064,11,4,6,108,2044.064,25
55,41,Grand Valley State Univ,1733.926,11,5,14,165,2188.926,25
56,98,Universidad Metropolitana,2152.228,11,3,10,,2358.228,25
57,26,Purdue Univ - Northwest,2228.860,11,7,7,,2382.860,25
58,17,Bradley Univ,2164.520,11,13,19,9,2579.520,25
,111,Lakehead Univ,1868.017,11,10,11,170,,11
,122,Florida Atlantic Univ,1383.258,10,3,5,,,10
,119,Duke Univ,1391.656,10,4,9,6,,10
,70,Penn State Univ - Harrisburg,1520.232,10,1,2,,,10
,42,Univ of Kentucky,1669.345,10,7,8,,,10
,11,Michigan State Univ,1153.665,9,3,1,120,,9
,115,Univ of British Columbia,1252.473,9,,1,,,9
,79,Georgia Southern Univ,1390.594,9,1,5,,,9
,109,US Air Force Academy,1423.442,9,10,1,,,9
,49,Univ of Louisiana - Lafayette,1976.001,9,11,9,20,,9
,92,Univ of Victoria,1186.369,8,6,1,,,8
,110,US Naval Academy,1281.603,8,8,3,,,8
,24,Univ of Toledo,1383.928,8,,1,,,8
,83,Univ of British Columbia - Okanagan,1237.897,7,2,4,,,7
,78,Temple Univ,1009.987,6,7,8,,,6
,101,Mississippi State Univ,1020.780,6,4,6,,,6
,139,CEFET-MG,666.506,5,1,,,,5
,84,Univ of Toronto,687.853,5,3,,,,5
,103,Texas Tech Univ,744.694,5,4,2,,,5
,68,Penn State Univ - University Park,777.360,5,,3,,,5
,132,Univ of Pittsburgh - Pittsburgh,793.141,5,1,,,,5
