Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12
Universitat Stuttgart,1,122.001,116.029,114.181,115.309,115.457,,114.003,114.149,113.118,113.315,113.009,112.882
Graz Technical Univ,2,121.716,115.276,112.647,112.329,111.672,,114.807,112.908,111.845,111.106,111.408,112.028
Ecole De Technologie Superieure,5,129.339,126.388,125.271,126.216,132.579,,129.795,121.635,133.014,121.631,120.845,122.791
Univ of Akron,6,131.986,125.309,121.440,123.873,131.661,124.604,,129.389,123.083,121.584,119.991,119.687
Carleton Univ,7,132.636,123.692,122.513,123.980,123.965,,123.811,120.854,123.890,121.678,120.368,120.227
Univ of Wisconsin - Madison,8,165.440,152.105,,,,,,,,,,
Univ of Michigan - Ann Arbor,9,126.030,122.387,121.066,121.002,124.124,,120.219,118.647,118.770,119.251,117.043,118.589
AGH Univ of Science and Technology,10,140.179,162.413,137.606,147.923,144.502,,127.201,125.020,125.444,125.343,126.522,125.096
Michigan State Univ,11,128.162,128.671,123.039,124.509,127.997,,134.333,128.300,128.409,130.245,,
Purdue Univ - W Lafayette,12,148.319,151.073,149.825,145.446,146.069,,139.749,131.906,130.755,133.541,143.713,143.608
Polytechnique Montréal,14,131.716,127.085,127.984,131.882,133.662,,127.397,125.219,126.109,124.187,124.527,124.396
Kookmin Univ,16,149.518,141.765,155.614,137.713,141.056,,127.035,124.269,121.586,118.541,125.466,136.868
Bradley Univ,17,261.767,238.943,189.411,211.422,200.980,,177.497,199.538,169.990,169.720,176.655,168.597
Univ of Alabama - Tuscaloosa,18,134.237,141.719,131.619,130.435,133.926,,132.517,127.023,125.485,125.164,130.083,127.168
North Carolina State Univ - Raleigh,19,142.370,139.301,146.039,,,,,,,,,
Florida Inst of Tech,20,177.576,166.493,153.747,160.857,160.646,,157.663,156.797,147.652,148.560,161.535,150.531
Univ of Florida,21,148.186,148.193,151.197,130.381,129.925,,137.197,134.047,129.140,133.494,126.890,127.222
