Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11
Univ of Kansas - Lawrence,13,150.400,153.752,150.559,154.452,155.489,,,,,,
California Polytechnic State Univ-SLO,14,141.990,140.747,136.810,132.875,131.998,,147.207,138.239,137.079,136.353,154.975
Grand Valley State Univ,16,178.326,169.003,171.104,164.179,162.603,,,,,,
Univ of Victoria,17,152.598,143.255,141.015,140.612,138.610,,157.448,155.397,153.174,145.204,142.174
Univ of Missouri,18,141.790,139.090,138.088,142.124,141.766,,140.034,134.353,134.118,136.063,140.128
Univ of Illinois - Urbana Champaign,19,136.724,130.400,138.226,139.349,130.103,,135.446,132.708,131.515,131.564,131.332
Clarkson University,20,162.556,158.480,158.211,157.731,156.381,165.413,,152.617,158.721,142.541,152.996
Univ of Colorado - Boulder,21,157.698,155.167,150.003,149.697,153.742,152.168,,154.581,149.181,155.822,154.508
South Dakota School of Mines & Tech,22,173.212,167.948,172.798,157.124,166.834,,169.161,162.832,156.013,154.168,159.871
Embry-Riddle Aero Univ - Daytona Beach,23,153.132,152.538,152.564,,,,,,,,
Colorado State University,24,204.727,236.712,204.173,201.736,192.504,,213.263,201.093,202.641,193.113,196.770
California State Univ - Los Angeles,26,194.263,172.534,170.210,170.052,178.165,,218.031,200.145,190.374,182.220,178.489
California State Univ - Fullerton,27,163.827,160.588,158.058,161.787,161.751,,157.974,156.996,152.316,146.930,139.930
California State Univ - Chico,29,212.674,190.404,167.075,167.311,163.369,,160.011,152.605,,,
Missouri State University,30,204.004,193.166,,,,,,,,,
York College of Pennsylvania,31,208.698,197.612,205.637,222.616,,,,,,,
Univ of Calif - Los Angeles,32,150.978,142.369,138.812,141.448,142.616,,143.098,139.175,140.036,138.780,138.206
Purdue Univ - W Lafayette,33,143.600,140.916,139.773,139.354,136.510,,139.807,139.846,139.724,136.548,135.256
California State Univ - Northridge,34,155.357,144.746,145.745,147.198,145.975,,143.574,150.993,140.924,140.071,141.381
California Baptist University,35,155.122,160.069,170.250,161.070,163.328,,163.931,162.521,157.624,154.008,157.477
North Carolina State Univ - Raleigh,36,182.541,175.320,176.904,169.551,170.249,,198.925,217.592,298.882,,
Michigan Tech Univ,37,239.789,217.536,184.215,184.634,197.365,,171.603,187.716,163.735,167.958,219.660
Univ of Maryland - College Park,42,167.308,148.756,146.616,164.501,159.824,,,,,,
Univ of Calgary,43,153.546,137.563,135.686,147.341,144.811,,,,,,
Univ of Waterloo,44,141.483,137.356,142.549,137.769,140.366,,,,,,
Lawrence Technological Univ,45,199.283,182.293,187.386,178.414,180.152,,157.204,154.211,149.893,156.004,158.443
Univ of North Florida,49,173.293,157.924,150.573,174.888,,,,,,,
Minnesota State University - Mankato,51,166.094,159.288,161.676,200.083,155.296,,187.344,179.945,166.424,169.075,178.397
Michigan State University,53,152.491,148.369,148.731,140.054,248.640,,141.910,137.963,137.326,135.608,137.720
Univ of North Carolina - Charlotte,55,151.957,139.345,135.614,135.210,134.450,,145.175,140.952,137.613,137.845,137.735
Clemson Univ,56,167.722,161.174,206.352,161.543,181.973,,173.750,188.205,,,
Univ of Pittsburgh - Pittsburgh,57,153.155,146.743,140.192,,,,,,,,
Drexel Univ,58,163.042,163.794,153.856,164.288,151.976,,,,,,
Univ of Hartford,60,177.054,171.283,171.615,177.512,169.133,,187.960,198.430,164.430,161.610,165.790
Kennesaw State University,61,149.696,144.593,146.581,141.802,153.648,,,,,,
Universidad Metropolitana,63,165.546,,,,,,,,,,
Lakehead Univ,65,226.063,211.905,205.215,200.865,195.818,,202.663,197.029,200.400,,
South Dakota State Univ,66,222.325,196.657,183.233,183.003,178.558,,193.153,167.170,177.061,165.799,174.143
Oklahoma State Univ,71,156.406,155.604,155.593,151.446,154.800,,168.040,154.548,154.148,158.880,148.330
Univ of Cincinnati,72,151.457,146.991,143.146,138.360,152.590,,133.052,152.695,129.868,133.160,137.148
Carleton Univ,73,155.848,154.568,151.175,,,,,,,,
Univ of Southern California,74,164.003,159.099,154.922,152.583,160.392,,173.794,159.341,162.323,166.209,169.009
Oregon Inst of Tech,76,180.383,184.055,171.377,167.358,170.896,,184.359,172.286,173.439,180.656,167.753
Univ of Calif - San Diego,80,141.925,138.237,138.790,150.048,139.374,,143.606,138.080,134.559,135.000,132.674
California State Poly Univ - Pomona,81,138.010,,135.576,135.414,,,,,,,
Georgia Institute of Technology,82,152.766,149.916,145.666,145.421,148.630,,145.795,142.727,147.244,142.814,142.508
Western Michigan Univ,83,146.784,143.791,145.894,149.425,147.235,,162.001,162.712,153.658,156.349,156.346
Villanova Univ,86,140.894,139.339,142.697,143.106,139.033,,,,,,
The Ohio State University,88,133.149,138.809,130.245,133.599,136.118,128.179,,177.397,143.695,144.470,148.791
Mississippi State Univ,89,155.973,158.919,149.258,157.280,,,,,,,
Sacramento State Univ,90,213.420,178.852,172.156,165.129,169.834,,170.950,158.159,164.302,155.708,157.609
Univ of Ottawa,92,153.216,158.508,156.447,142.160,145.743,,170.743,155.853,152.498,146.651,169.523
Temple Univ,94,189.229,198.196,170.324,169.067,179.734,,154.433,146.861,145.399,140.923,164.947
Univ of British Columbia - Okanagan,96,220.894,200.864,191.387,185.648,185.021,,167.140,175.925,179.904,158.150,165.718
Univ of South Florida,97,163.376,159.362,150.117,149.920,194.604,,152.561,159.448,144.975,152.930,153.978
Univ of Akron,99,143.169,137.518,138.686,139.296,140.252,142.841,,145.764,136.608,138.218,136.433
Arizona State Univ - Tempe,101,223.747,182.095,179.491,175.156,230.036,,,,,,
Univ of Calif - Berkeley,103,144.193,147.525,143.884,149.100,138.967,,140.388,131.421,134.197,162.971,
Old Dominion Univ,106,160.952,159.207,180.235,149.082,206.070,,,,,,
Florida Atlantic Univ,107,171.927,178.200,327.953,164.150,,194.931,180.034,214.943,176.950,172.850,
Brown Univ,108,241.883,212.275,205.586,211.742,204.190,,221.709,236.132,206.323,239.105,223.300
Univ of Illinois - Chicago,110,162.347,164.252,157.306,159.165,160.249,,171.351,161.647,169.398,170.074,169.995
Oakland University,111,175.529,160.277,151.243,152.806,158.720,,,,,,
Univ of Oklahoma,113,180.412,167.909,168.915,166.665,157.555,,,,,,
Saginaw Valley State Univ,114,170.869,161.878,156.787,151.090,151.957,,166.287,163.126,161.072,175.643,161.321
Univ of Texas - Arlington,115,135.406,132.491,132.753,133.068,131.057,,128.328,130.018,129.425,128.497,129.935
Missouri University of Science and Tech,117,152.610,153.427,165.310,148.510,151.359,,151.031,147.076,160.030,144.069,143.743
Univ of New Hampshire,119,207.686,249.549,195.652,197.677,194.164,,,,,,
Univ of Texas - Austin,122,160.223,180.198,157.125,158.114,152.347,197.587,,175.444,175.634,162.174,159.905
Univ of Connecticut,124,133.508,139.048,125.866,166.639,126.249,,133.643,130.767,132.235,126.343,126.823
Univ of Puerto Rico-Mayaquez,126,177.522,168.556,167.219,171.099,168.135,,197.515,170.327,167.200,202.959,163.104
Univ of Virginia,127,216.169,187.666,173.942,175.625,182.298,,162.604,156.684,154.638,182.069,157.636
Wroclaw University of Technology,131,148.669,141.490,144.484,141.671,137.011,180.995,,137.614,132.779,127.272,126.928
Univ of Minnesota - Twin Cities,134,156.095,144.964,154.609,,,,,,,,
Texas Tech Univ,136,191.903,195.898,187.616,184.265,198.964,,,,,,
Iowa State Univ,137,143.061,148.194,,,,,,,,,
Texas A&M Univ - College Station,140,141.083,134.525,131.536,131.280,137.403,,137.715,,,,
Univ of Kentucky,141,157.989,153.993,162.562,,,,,,,,
Duke Univ,142,177.617,162.438,157.351,163.334,,,,,,,
Kansas State Univ,144,143.942,140.983,138.968,142.619,143.209,,142.423,137.418,133.687,133.917,146.788
CEFET-MG,162,146.278,138.698,166.984,140.186,142.193,,,,,,
