Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Penalty,Score
1,65,Universidad Politecnica de Valencia,54.724,,,54.724,52.767,,,52.767,49.711,,,49.711,48.878,,,48.878,48.878,,125
2,38,Georgia Institute of Technology,49.993,,,49.993,49.231,,,49.231,50.188,,1,70.188,48.756,1,,50.756,49.231,,122.27
3,131,Univ of Southern California,52.545,,,52.545,50.599,,,50.599,54.732,,,54.732,53.396,,,53.396,50.599,,112.02
4,4,Univ of Connecticut,53.896,1,,55.896,53.732,,,53.732,51.870,,,51.870,51.052,,,51.052,51.052,,108.74
5,106,Iowa State Univ,52.413,,,52.413,51.193,,,51.193,52.521,,,52.521,52.277,1,,54.277,51.193,,107.74
6,43,Univ of Nebraska - Lincoln,56.724,,,56.724,53.494,,,53.494,59.890,1,1,81.890,51.213,,,51.213,51.213,,107.59
7,81,Univ of Texas - Arlington,52.688,,,52.688,51.314,,,51.314,56.235,,,56.235,54.860,,,54.860,51.314,,106.88
8,5,Texas A & M Univ - College Station,55.397,,,55.397,52.080,,,52.080,51.796,,,51.796,51.357,,,51.357,51.357,,106.57
9,48,Univ of Alabama - Tuscaloosa,,,,,51.914,,,51.914,53.107,,,53.107,51.819,,,51.819,51.819,,103.33
10,10,Kansas State Univ,53.668,,,53.668,52.437,,,52.437,54.169,,,54.169,52.019,,,52.019,52.019,,101.94
11,29,Univ of Victoria,52.385,,,52.385,52.783,,,52.783,59.623,,,59.623,58.754,,,58.754,52.385,,99.44
12,2,Univ of North Carolina - Charlotte,54.400,,1,74.400,53.160,,1,73.160,54.132,,,54.132,52.543,,,52.543,52.543,,98.37
13,9,Villanova Univ,52.704,,,52.704,52.753,1,1,74.753,62.212,,,62.212,53.979,,,53.979,52.704,,97.28
14,84,California State Univ - Northridge,57.184,1,,59.184,54.829,,,54.829,65.117,1,,67.117,52.797,,,52.797,52.797,,96.66
15,74,Virginia Tech,58.725,1,,60.725,56.363,,,56.363,55.099,,,55.099,53.015,,,53.015,53.015,,95.2
16,138,Oakland University,55.367,,,55.367,54.122,1,,56.122,54.930,,,54.930,53.020,,,53.020,53.020,,95.17
17,30,Brown Univ,54.502,,,54.502,53.040,,,53.040,57.167,,,57.167,55.999,,,55.999,53.040,,95.04
18,148,CEFET-MG,53.500,,,53.500,53.085,,,53.085,55.117,,,55.117,55.197,,,55.197,53.085,,94.74
19,23,Colorado School of Mines,55.621,,,55.621,53.136,,,53.136,60.942,,,60.942,62.058,,1,82.058,53.136,,94.4
20,8,Purdue Univ - W Lafayette,55.974,,1,75.974,54.062,,,54.062,54.184,,,54.184,53.138,,,53.138,53.138,,94.39
21,3,Univ of Calif - Berkeley,57.180,,,57.180,56.087,,,56.087,62.295,,,62.295,53.170,,,53.170,53.170,,94.18
22,71,Univ of South Florida,57.897,,,57.897,55.722,,,55.722,62.440,,,62.440,53.334,,,53.334,53.334,,93.1
23,22,Univ of Missouri,87.599,1,,89.599,53.453,,,53.453,55.871,2,,59.871,55.536,,,55.536,53.453,,92.32
24,75,Mississippi State Univ,55.963,,,55.963,53.548,,,53.548,59.578,,,59.578,57.381,,,57.381,53.548,,91.7
25,56,Univ of Maryland - College Park,55.315,,,55.315,67.180,,,67.180,56.486,,,56.486,53.644,,,53.644,53.644,,91.08
26,60,Univ of Cincinnati,76.214,,1,96.214,55.274,,,55.274,56.155,,,56.155,53.686,,,53.686,53.686,,90.81
27,124,Univ of Wisconsin - Madison,56.847,,,56.847,54.110,,,54.110,,,,DNA,,,,DNA,54.110,,88.09
28,58,Clemson Univ,54.270,,,54.270,,,,,56.836,,,56.836,56.052,,,56.052,54.270,,87.07
29,52,Sacramento State Univ,56.069,,,56.069,55.360,,,55.360,56.226,,,56.226,54.458,,,54.458,54.458,,85.88
