Place,CarNum,Team,Time,Laps,Cones,OffCourse,OtherPenalty,AdjTime,TimeScore,LapScore,EnduranceScore
1,38,Georgia Institute of Technology,1289.297,10,3,,,1295.297,250.0,25,275
2,65,Universidad Politecnica de Valencia,1292.864,10,2,1,,1316.864,236.8,25,261.8
3,10,Kansas State Univ,1325.399,10,,,,1325.399,231.7,25,256.7
4,5,Texas A & M Univ - College Station,1300.335,10,6,1,,1332.335,227.6,25,252.6
5,106,Iowa State Univ,1327.352,10,4,,,1335.352,225.8,25,250.8
6,48,Univ of Alabama - Tuscaloosa,1359.071,10,4,1,,1387.071,196.7,25,221.7
7,51,Universite de Sherbrooke,1393.337,10,2,,,1397.337,191.2,25,216.2
8,8,Purdue Univ - W Lafayette,1381.962,10,,1,,1401.962,188.7,25,213.7
9,138,Oakland University,1413.087,10,,,,1413.087,182.9,25,207.9
10,30,Brown Univ,1397.191,10,,1,,1417.191,180.7,25,205.7
11,32,Embry-Riddle Aero Univ - Daytona Beach,1403.346,10,1,1,,1425.346,176.5,25,201.5
12,84,California State Univ - Northridge,1382.793,10,3,2,,1428.793,174.7,25,199.7
13,34,Duke Univ,1423.899,10,3,,,1429.899,174.2,25,199.2
14,29,Univ of Victoria,1407.040,10,3,1,,1433.040,172.6,25,197.6
15,43,Univ of Nebraska - Lincoln,1376.083,10,6,3,,1448.083,165.0,25,190.0
16,74,Virginia Tech,1396.798,10,1,4,,1478.798,150.0,25,175.0
17,81,Univ of Texas - Arlington,1398.558,10,4,1,60,1486.558,146.4,25,171.4
18,22,Univ of Missouri,1432.636,10,,3,,1492.636,143.5,25,168.5
19,2,Univ of North Carolina - Charlotte,1373.084,10,,,120,1493.084,143.3,25,168.3
20,124,Univ of Wisconsin - Madison,1429.599,10,3,3,,1495.599,142.1,25,167.1
21,92,Univ of Michigan - Dearborn,1469.130,10,6,1,,1501.130,139.5,25,164.5
22,52,Sacramento State Univ,1456.384,10,5,2,,1506.384,137.1,25,162.1
23,23,Colorado School of Mines,1487.777,10,2,1,,1511.777,134.6,25,159.6
24,61,Univ of Wisconsin - Platteville,1474.258,10,1,2,,1516.258,132.6,25,157.6
25,31,Lehigh Univ,1520.303,10,2,,,1524.303,129.0,25,154.0
26,98,Missouri University of Science and Tech,1490.862,10,9,1,,1528.862,126.9,25,151.9
27,118,Liberty Univ,1525.635,10,7,,,1539.635,122.2,25,147.2
28,80,South Dakota School of Mines & Tech,1487.469,10,1,3,,1549.469,117.9,25,142.9
29,3,Univ of Calif - Berkeley,1427.945,10,2,,120,1551.945,116.8,25,141.8
30,103,Univ of Colorado - Boulder,1485.001,10,3,4,,1571.001,108.6,25,133.6
31,89,California State Poly Univ - Pomona,1546.353,10,,2,,1586.353,102.2,25,127.2
32,101,Univ of Manitoba,1483.930,10,8,2,60,1599.930,96.6,25,121.6
33,45,Minnesota State University - Mankato,1573.495,10,4,1,,1601.495,96.0,25,121.0
34,59,Univ of Georgia,1602.557,10,6,1,,1634.557,82.8,25,107.8
35,56,Univ of Maryland - College Park,1595.711,10,,2,,1635.711,82.4,25,107.4
36,125,Southern Illinois Univ - Carbondale,1600.588,10,11,1,,1642.588,79.7,25,104.7
37,7,Instituto Maua de Tecnologia,1511.211,10,,1,114,1645.211,78.7,25,103.7
38,117,Oklahoma State Univ,1553.714,10,8,4,,1649.714,76.9,25,101.9
39,96,Univ of Toledo,1610.196,10,1,2,,1652.196,76.0,25,101.0
40,77,Univ of North Florida,1588.339,10,5,3,,1658.339,73.6,25,98.6
41,107,Univ of Hartford,1617.658,10,10,3,,1697.658,59.1,25,84.1
42,9,Villanova Univ,1483.477,10,3,5,120,1709.477,54.8,25,79.8
43,115,Univ of Illinois - Chicago,1734.000,10,2,,,1738.000,44.8,25,69.8
44,131,Univ of Southern California,1390.923,10,,1,360,1770.923,33.6,25,58.6
45,86,Univ of Delaware,1769.894,10,,4,,1849.894,8.5,25,33.5
46,64,Grand Valley State Univ,1841.841,10,1,2,,1883.841,,25,25.0
47,120,Univ of Saskatchewan,1892.251,10,12,10,,2116.251,,25,25.0
48,132,Wichita State Univ,2158.993,10,4,2,,2206.993,,25,25.0
49,79,Florida Atlantic Univ,2033.968,10,37,4,30,2217.968,,25,25.0
,76,Washington Univ - St Louis,1350.653,9,1,,,,,24,24.0
,97,Wayne State Univ,1667.643,9,5,,,,,24,24.0
,116,North Dakota State Univ,2202.814,9,9,2,,,,24,24.0
,99,Colorado Mesa University,1540.431,8,2,6,,,,21,21.0
,54,Tennessee Tech Univ,1199.661,7,1,2,,,,18,18.0
,24,Univ of British Columbia,1341.149,7,4,,,,,18,18.0
,4,Univ of Connecticut,799.949,6,,,,,,15,15.0
,57,Florida International Univ,1090.016,6,1,8,,,,15,15.0
,42,Universidad Metropolitana,1198.292,6,,4,,,,15,15.0
,58,Clemson Univ,697.421,5,2,2,,,,12,12.0
,148,CEFET-MG,710.675,5,,,,,,12,12.0
,108,Temple Univ,716.414,5,1,1,,,,12,12.0
,119,Kennesaw State University,735.111,5,,,,,,12,12.0
,60,Univ of Cincinnati,764.205,5,3,1,,,,12,12.0
,93,Michigan Tech Univ,782.357,5,,,,,,12,12.0
,128,North Carolina State Univ - Raleigh,790.714,5,,1,,,,12,12.0
,44,Colorado State University,792.936,5,,,,,,12,12.0
,46,Univ of Oklahoma,796.028,5,2,,,,,12,12.0
,82,South Dakota State Univ,807.519,5,9,3,,,,12,12.0
,100,Univ of Arizona,1080.766,5,2,,,,,12,12.0
,50,Clarkson University,623.206,4,6,,,,,9,9.0
,70,US Naval Academy,796.240,4,2,1,,,,9,9.0
,75,Mississippi State Univ,422.188,3,,2,,,,7,7.0
,73,Washington State Univ,345.001,2,,1,,,,5,5.0
,35,Univ of Calif - Irvine,625.865,1,,4,,,,3,3.0
,41,Pellissippi State Community College,0.000,<1,,,,,,1,1.0
,87,Univ of Ottawa,0.000,<1,2,,,,,1,1.0
,88,Univ of Kentucky,0.000,<1,,1,,,,1,1.0
,104,Univ of Texas - Austin,0.000,<1,,,,,,1,1.0
