Place,CarNum,Team,Status,RawScore,Penalty,Score
1,2,Univ of North Carolina - Charlotte,Final,75,,75
2,34,Duke Univ,Final,71.3,,71.3
3,10,Kansas State Univ,Final,70.6,,70.6
4,4,Univ of Connecticut,Final,69.0,,69.0
5,32,Embry-Riddle Aero Univ - Daytona Beach,Final,68.9,,68.9
6,98,Missouri University of Science and Tech,Final,67.8,,67.8
7,148,CEFET-MG,Final,67.7,,67.7
8,56,Univ of Maryland - College Park,Final,67.6,,67.6
9,75,Mississippi State Univ,Final,66.9,,66.9
10,5,Texas A & M Univ - College Station,Final,66.4,,66.4
11,59,Univ of Georgia,Final,64.4,,64.4
12,67,California State Univ - Fullerton,Final,61.0,,61.0
13,138,Oakland University,,60.0,,60.0
14,30,Brown Univ,,59.7,,59.7
15,3,Univ of Calif - Berkeley,,59.5,,59.5
16,48,Univ of Alabama - Tuscaloosa,,59.4,,59.4
17,9,Villanova Univ,,59.3,,59.3
18,74,Virginia Tech,,58.2,,58.2
19,108,Temple Univ,,58.1,,58.1
20,41,Pellissippi State Community College,,56.3,,56.3
21,115,Univ of Illinois - Chicago,,55.6,,55.6
22,43,Univ of Nebraska - Lincoln,,55.0,,55.0
23,7,Instituto Maua de Tecnologia,,54.3,,54.3
24,73,Washington State Univ,,54.2,,54.2
25,58,Clemson Univ,,53.9,,53.9
26,97,Wayne State Univ,,53.0,,53.0
27,104,Univ of Texas - Austin,,52.4,,52.4
28,117,Oklahoma State Univ,,51.8,,51.8
29,49,Arizona State Univ - Tempe,,51.5,,51.5
30,26,Univ of Texas - Dallas,,51.3,,51.3
31,77,Univ of North Florida,,51.3,,51.3
32,100,Univ of Arizona,,51.0,,51.0
33,22,Univ of Missouri,,50.4,,50.4
33,65,Universidad Politecnica de Valencia,,50.4,,50.4
35,101,Univ of Manitoba,,50.2,,50.2
36,122,Trinity Univ,,48.6,,48.6
37,124,Univ of Wisconsin - Madison,,48.3,,48.3
38,61,Univ of Wisconsin - Platteville,,46.5,,46.5
39,51,Universite de Sherbrooke,,46.4,,46.4
40,33,Lakehead Univ,,45.9,,45.9
41,120,Univ of Saskatchewan,,44.1,,44.1
42,29,Univ of Victoria,,43.9,,43.9
43,38,Georgia Institute of Technology,,43.8,,43.8
44,45,Minnesota State University - Mankato,,43.1,,43.1
45,111,Universidad Panamericana Sede Guadalajar,,42.6,,42.6
